country,2,3,4,5,6,7
ALB,,0.674291,0.707005,,,
AND,,,,0.773126,,0.709748
ARG,,,,0.716537,0.77141,0.760675
ARM,,,,,0.638303,0.684381
AUS,,0.757104,,0.683893,0.6959,0.676411
AZE,,,,,0.60203,
BFA,,,,0.674671,,
BGD,,0.634362,0.582035,,,0.614653
BGR,,0.647237,,0.722585,,
BIH,,0.716306,0.649472,,,
BLR,,0.697669,,,0.718024,
BOL,,,,,,0.716035
BRA,0.747388,0.650025,,0.633984,0.699392,0.649177
CAN,,,0.765483,0.747365,,0.679968
CHE,,0.82406,,,,
CHL,,0.671993,0.692504,0.723706,0.743453,0.725715
CHN,,0.676569,,0.755292,0.785623,0.716719
COL,,0.714474,,,0.719901,0.779871
CYP,,,,0.69948,0.73153,0.73573
CZE,,,,,,0.627676
DEU,,0.820794,,0.785355,0.703961,0.69946
DOM,,0.669591,,,,
DZA,,,0.625573,,0.717851,
ECU,,,,,0.706673,0.749296
EGY,,,0.731967,0.641198,,0.666856
ESP,,0.868533,0.852724,,,
EST,,,,,0.697486,
ETH,,,,0.83461,,0.697149
FRA,,,,0.762475,,
GBR,,,,0.649646,,0.653372
GEO,,,,0.707839,0.678753,
GHA,,,,0.575534,0.676706,
GRC,,,,,,0.7575
GTM,,,,0.720633,,0.702584
HKG,,,,,,0.773621
HTI,,,,,0.569102,
HUN,,0.874992,,0.746912,,
IDN,,,0.702446,0.648476,,0.790493
IND,0.729274,0.663525,0.752396,0.7313,0.727236,0.706641
IRN,,,,0.745803,,0.726752
IRQ,,,,0.763087,0.600854,0.687678
ITA,,,,0.800097,,
JOR,,,0.828692,,0.756704,0.667514
JPN,,,,,,0.72014
KAZ,,,,,0.706819,0.682136
KEN,,,,,,0.734388
KGZ,,,0.777576,,0.776652,0.642191
KOR,,,,,,0.678131
KWT,,,,,0.731954,
LBN,,,,,0.744179,0.722687
LBY,,,,,0.693217,0.653113
LTU,,0.696119,,,,
LVA,,0.668625,,,,
MAC,,,,,,0.760412
MAR,,,0.717265,0.627571,,0.652287
MDA,,0.808991,0.738688,0.752192,,
MDV,,,,,,0.690365
MEX,,0.672986,0.780122,0.818756,0.705061,0.725573
MKD,,0.691688,0.674237,,,
MLI,,,,0.717239,,
MMR,,,,,,0.706102
MNE,,0.770315,0.751686,,,
MNG,,,,,,0.888178
MYS,,,,0.695337,0.683467,0.636533
NGA,0.607287,0.635317,0.636875,,0.70859,0.627929
NIC,,,,,,0.72928
NIR,,,,,,0.703393
NLD,,,,,0.746827,0.679241
NOR,,0.686937,,0.737306,,
NZL,,,,,0.705144,0.690257
PAK,,0.609941,0.638955,,,0.72501
PER,,,,,0.67937,0.779349
PHL,,,0.698954,,0.690265,0.696438
POL,,0.767636,,0.820806,0.744834,
PRI,,0.719613,0.764776,,,0.678431
ROU,,0.756062,,0.837044,0.713843,0.788366
RUS,,0.734101,,,0.645448,0.738702
RWA,,,,0.779866,0.573111,
SAU,,,0.66952,,,
SGP,,,,,,0.806574
SRB,,0.819155,0.712408,0.714377,,0.704696
SVK,,0.702819,,,,0.752201
SVN,,0.755265,,0.779381,0.789108,
SWE,,,0.759728,0.711485,0.722033,
THA,,,,0.813898,0.673738,0.768023
TJK,,,,,,0.719587
TTO,,,,0.646177,,
TUN,,,,,0.658977,0.651564
TUR,,,,,,0.72426
TWN,,0.839479,,0.654914,0.689519,0.715076
UKR,,0.756802,,,0.642573,0.698404
URY,,0.735425,,0.734333,0.643978,0.691084
USA,,0.66926,0.68154,0.640608,,0.704026
UZB,,,,,0.729482,0.705405
VEN,,0.725947,0.672958,,,0.718753
VNM,,,0.695705,0.673457,,0.700338
YEM,,,,,0.767624,
ZAF,,0.696896,,,0.749198,
ZMB,,,,0.715932,,
ZWE,,,,,0.687768,0.690353
