country,2,3,4,5,6,7
ALB,,3.1216,3.1644,,,
AND,,,,3.3926,,3.984
ARG,,,,3.3921,3.7563,3.9842
ARM,,,,,3.7533,3.9841
AUS,,3.1264,,3.3934,3.7541,3.9846
AZE,,,,,3.7547,
BFA,,,,3.3895,,
BGD,,3.1198,3.162,,,3.9829
BGR,,3.1237,,3.3925,,
BIH,,3.1206,3.1645,,,
BLR,,3.1234,,,3.7554,
BOL,,,,,,3.9843
BRA,3.9466,3.1224,,3.3917,3.7547,3.9838
CAN,,,3.1688,3.3925,,3.9838
CHE,,3.1265,,,,
CHL,,3.1225,3.1671,3.3928,3.7545,3.9839
CHN,,3.1231,,3.3903,3.7556,3.9846
COL,,3.1247,,,3.7552,3.9856
CYP,,,,3.3912,3.7563,3.9856
CZE,,,,,,3.9834
DEU,,3.129,,3.3955,3.7544,3.985
DOM,,3.1218,,,,
DZA,,,3.1653,,3.7535,
ECU,,,,,3.7541,3.9849
EGY,,,3.1651,3.391,,3.9828
ESP,,3.1286,3.1716,,,
EST,,,,,3.755,
ETH,,,,3.3948,,3.9842
FRA,,,,3.3934,,
GBR,,,,3.3918,,3.9843
GEO,,,,3.3939,3.7561,
GHA,,,,3.3855,3.7535,
GRC,,,,,,3.9859
GTM,,,,3.3902,,3.9836
HKG,,,,,,3.9856
HTI,,,,,3.7531,
HUN,,3.1291,,3.3937,,
IDN,,,3.165,3.3901,,3.9858
IND,3.9643,3.1223,3.166,3.3895,3.7555,3.9825
IRN,,,,3.3911,,3.9844
IRQ,,,,3.3887,3.7536,3.9834
ITA,,,,3.3949,,
JOR,,,3.17,,3.7545,3.9826
JPN,,,,,,3.9851
KAZ,,,,,3.7541,3.9837
KEN,,,,,,3.9842
KGZ,,,3.1667,,3.7561,3.9831
KOR,,,,,,3.9838
KWT,,,,,3.7559,
LBN,,,,,3.7555,3.9837
LBY,,,,,3.7551,3.9837
LTU,,3.1223,,,,
LVA,,3.1201,,,,
MAC,,,,,,3.985
MAR,,,3.1666,3.3894,,3.9832
MDA,,3.1256,3.168,3.3931,,
MDV,,,,,,3.9842
MEX,,3.1221,3.1696,3.3958,3.7554,3.9851
MKD,,3.1252,3.1671,,,
MLI,,,,3.389,,
MMR,,,,,,3.9842
MNE,,3.1243,3.1686,,,
MNG,,,,,,3.9869
MYS,,,,3.3916,3.7533,3.9839
NGA,3.9634,3.1197,3.1629,,3.7537,3.9831
NIC,,,,,,3.9843
NIR,,,,,,3.9844
NLD,,,,,3.7554,3.9839
NOR,,3.1246,,3.394,,
NZL,,,,,3.7551,3.9845
PAK,,3.1188,3.1629,,,3.9839
PER,,,,,3.7546,3.9851
PHL,,,3.1658,,3.7535,3.9836
POL,,3.1272,,3.3958,3.7571,
PRI,,3.1249,3.1676,,,3.9839
ROU,,3.1248,,3.3964,3.7555,3.9852
RUS,,3.1247,,,3.755,3.9852
RWA,,,,3.3932,3.7523,
SAU,,,3.1688,,,
SGP,,,,,,3.9864
SRB,,3.1277,3.1673,3.3912,,3.9844
SVK,,3.1244,,,,3.9853
SVN,,3.1275,,3.3954,3.7575,
SWE,,,3.1694,3.3925,3.7556,
THA,,,,3.395,3.7555,3.9854
TJK,,,,,,3.9836
TTO,,,,3.391,,
TUN,,,,,3.7539,3.9828
TUR,,,,,,3.9836
TWN,,3.1266,,3.3918,3.7553,3.9852
UKR,,3.1225,,,3.7546,3.9841
URY,,3.1254,,3.3906,3.7536,3.9853
USA,,3.1243,3.1645,3.3897,,3.9841
UZB,,,,,3.7555,3.9842
VEN,,3.1233,3.1642,,,3.9823
VNM,,,3.1639,3.3899,,3.9831
YEM,,,,,3.7569,
ZAF,,3.1215,,,3.7552,
ZMB,,,,3.3918,,
ZWE,,,,,3.7541,3.983
