sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
2.0,,5.0,4.0,4.0,1.9,8.5,1.9999999999999998,7.0,5.5,1.0,1.0,4.0,5.8,3.0,1.0,1.0,8.0,6.454545454545455,3.739130434782609,7.0,3.25,8.2,10.0,4.75,5.5,2.8,10.0,4.0,8.2,1.0,5.666666666666668,4.6,9.399999999999999,3.25,5.5,7.0,1.0,4.375,4.375,4.375,10.0,4.0,5.5,3.5199999999999996,7.0,5.909090909090908,6.5,8.434782608695652,3.6,1.0,10.0,10.0,5.5,6.823529411764705,2.2857142857142856,3.25,3.25,4.0,4.0
1.0,35-44,4.0,4.0,4.0,1.0,8.5,1.0,7.0,5.5,4.0,1.0,3.0,5.4,4.0,1.0,4.0,6.799999999999999,4.818181818181818,6.478260869565219,5.0,5.5,8.2,10.0,7.0,1.0,4.6,10.0,4.0,8.2,1.0,2.6666666666666665,1.0,7.6000000000000005,5.5,3.25,7.75,1.0,7.75,3.25,10.0,4.0,1.0,10.0,1.3599999999999999,8.5,8.09090909090909,5.0,6.086956521739131,3.2,1.0,10.0,5.5,5.5,6.294117647058823,1.0,3.25,4.75,1.0,4.0
2.0,19-24,5.0,4.0,1.0,5.5,7.0,1.0,7.0,5.5,1.0,5.090909090909091,10.0,9.799999999999999,9.0,1.0,1.0,5.0,5.363636363636363,6.478260869565219,7.0,7.75,8.2,5.5,7.0,1.0,1.0,7.0,4.0,8.2,8.2,5.0,1.0,7.0,2.125,3.25,4.75,1.0,5.5,2.125,6.625,7.0,7.0,10.0,2.44,10.0,8.636363636363637,3.0,10.0,5.0,1.0,10.0,10.0,5.5,4.705882352941176,6.142857142857142,1.75,1.75,7.0,4.75
2.0,35-44,5.0,4.0,4.0,1.9,7.75,1.0,7.0,5.5,4.0,1.0,5.0,6.357142857142857,5.0,1.0,1.0,7.2,5.090909090909091,5.304347826086956,7.0,5.5,8.2,10.0,7.75,10.0,6.3999999999999995,8.5,1.0,1.0,1.0,8.333333333333334,8.2,4.6000000000000005,4.375,3.25,4.0,2.125,6.625,5.5,6.625,4.0,4.0,10.0,5.5,8.5,5.363636363636363,4.0,5.304347826086957,7.8,1.0,10.0,10.0,1.0,8.941176470588236,2.9285714285714284,1.75,4.75,1.0,4.0
1.0,,5.0,4.0,1.0,1.0,6.25,1.0,10.0,5.5,1.0,5.5,7.0,7.0,7.0,1.0,1.0,6.4,5.363636363636363,6.086956521739131,4.0,5.5,8.2,10.0,7.0,1.0,6.3999999999999995,4.0,1.0,8.2,8.2,5.0,4.6,4.0,2.125,1.0,4.75,1.0,5.5,5.5,5.5,1.0,10.0,5.5,2.08,5.5,5.363636363636363,3.5,6.086956521739131,6.0,10.0,10.0,5.5,4.0,5.764705882352941,3.8928571428571432,2.5,4.0,4.0,5.5
2.0,45-54,3.0,4.0,7.0,5.5,4.0,7.0,7.0,5.5,1.0,3.8636363636363633,5.999999999999999,4.6000000000000005,5.5,5.5,1.0,5.0,5.363636363636363,4.521739130434783,5.0,5.5,2.8,1.0,4.75,1.0,1.0,4.0,1.0,2.8,2.8,4.666666666666667,4.6,4.6000000000000005,1.0,1.0,4.0,1.0,7.75,3.25,6.625,4.0,7.0,10.0,3.5199999999999996,4.0,8.09090909090909,3.5,4.130434782608695,4.6,10.0,1.0,5.5,5.5,4.705882352941176,6.4642857142857135,8.5,10.0,4.0,4.0
2.0,,5.0,4.0,4.0,10.0,10.0,1.0,1.0,7.75,4.0,7.749999999999999,5.0,6.799999999999999,5.999999999999999,1.0,1.0,6.6,8.363636363636363,4.130434782608696,9.0,1.0,1.0,5.5,7.75,10.0,4.6,10.0,1.0,1.0,1.0,8.0,1.0,10.0,1.0,1.0,4.0,1.0,5.5,6.625,1.0,1.0,1.0,5.5,3.1600000000000006,10.0,4.272727272727273,9.0,7.2608695652173925,7.8,10.0,2.285714285714285,5.5,4.0,2.5882352941176467,10.0,9.25,10.0,1.0,3.25
1.0,25-34,5.0,4.0,4.0,5.5,7.0,1.0,7.0,5.5,4.0,5.090909090909091,4.0,4.4,4.0,1.0,1.0,8.4,6.454545454545455,5.304347826086956,7.0,3.25,8.2,10.0,4.0,1.0,6.3999999999999995,7.0,1.0,8.2,8.2,5.0,6.3999999999999995,6.3999999999999995,2.125,10.0,3.25,2.125,3.25,2.125,6.625,7.0,7.0,5.5,3.5199999999999996,7.0,4.818181818181818,3.5,8.826086956521738,6.4,1.0,8.714285714285715,5.5,5.5,4.705882352941176,2.2857142857142856,2.5,4.75,4.0,4.75
1.0,,,4.0,5.0,7.3,7.0,1.0,4.0,5.5,4.0,3.0454545454545454,1.0,1.9999999999999998,1.0,1.0,1.0,8.2,5.090909090909091,4.913043478260871,7.0,3.25,8.2,5.5,3.25,10.0,6.3999999999999995,10.0,1.0,8.2,2.8,5.0,1.0,9.399999999999999,1.0,1.0,7.0,1.0,4.375,5.5,6.625,4.0,4.0,5.5,1.9,7.0,7.545454545454546,6.0,8.043478260869566,5.8,1.0,1.0,1.0,5.5,6.823529411764705,4.214285714285714,4.0,4.0,7.0,1.0
1.0,35-44,5.0,4.0,5.0,5.5,6.25,1.0,7.0,3.25,4.0,1.2045454545454546,5.999999999999999,5.0,5.5,1.0,4.0,7.8,5.909090909090908,5.304347826086956,9.0,3.25,8.2,1.0,6.25,1.0,4.6,10.0,1.0,8.2,8.2,3.0,1.0,8.8,1.0,3.25,4.75,1.0,6.625,5.5,3.25,7.0,1.0,10.0,2.44,7.0,9.181818181818182,4.0,6.086956521739131,4.8,10.0,1.0,5.5,4.0,5.764705882352941,1.6428571428571428,1.0,1.0,10.0,4.0
