sexo,edad,escol,Tam_loc,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_domestic_institutions,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_offline_political_participation,wvs_agg_postmaterialist_values,wvs_agg_religious_belief,wvs_agg_religious_practice_and_self_identification,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_subjective_wellbeing,wvs_agg_voluntary_association_active_membership
,45-54,,,4.0,3.25,1.0,2.0,8.666666666666666,1.0,1.0,1.0,3.387755102040816,1.0,1.0,1.0,1.0,10.0,5.875,1.0
,35-44,,,1.0,5.5,1.0,1.0,6.666666666666667,3.333333333333334,1.0,5.5,3.387755102040816,1.0,1.0,10.0,1.0,10.0,6.625,1.0
,25-34,,,4.0,7.75,1.0,1.0,5.0,1.0,1.0,5.5,3.387755102040816,2.2857142857142856,1.0,10.0,1.0,10.0,4.0,1.0
,35-44,,,1.0,3.25,4.0,3.25,6.666666666666667,3.333333333333334,1.0,1.0,2.2857142857142856,4.214285714285714,1.0,10.0,1.0,10.0,5.125,1.0
,35-44,,,7.0,3.25,4.0,1.0,6.666666666666667,1.0,1.0,1.0,3.204081632653061,1.0,1.0,1.0,1.0,10.0,5.5,2.8
,35-44,,,4.0,5.5,1.0,3.25,8.666666666666666,5.666666666666668,5.5,1.0,2.6530612244897958,4.857142857142857,1.0,1.0,1.0,10.0,3.25,2.8
,55-64,,,4.0,3.25,4.0,1.0,4.666666666666667,1.0,1.0,1.0,3.387755102040816,1.0,1.0,10.0,1.0,10.0,4.75,1.0
,19-24,,,1.0,5.5,1.0,4.25,10.0,2.3333333333333335,1.0,1.0,3.387755102040816,2.2857142857142856,1.0,1.0,1.0,10.0,6.625,1.0
,55-64,,,4.0,5.5,4.0,1.75,5.666666666666666,4.0,1.0,5.5,3.387755102040816,1.6428571428571428,1.0,1.0,1.0,10.0,5.5,1.0
,19-24,,,4.0,7.75,4.0,3.0,6.666666666666667,1.3333333333333333,1.0,1.0,3.0204081632653055,2.2857142857142856,1.3333333333333333,1.0,1.0,10.0,5.5,1.0
,55-64,,,4.0,3.25,4.0,4.75,6.666666666666667,3.0,1.0,1.0,3.387755102040816,1.6428571428571428,2.0,10.0,10.0,1.0,5.875,4.6
,55-64,,,1.0,5.5,4.0,2.0,8.333333333333334,1.0,1.0,5.5,3.387755102040816,1.0,1.0,10.0,1.0,10.0,5.125,1.0
,45-54,,,4.0,5.5,4.0,1.0,4.0,1.0,1.0,1.0,3.387755102040816,1.6428571428571428,1.0,10.0,1.0,10.0,5.875,1.0
,25-34,,,4.0,5.5,1.0,1.0,8.333333333333334,3.6666666666666665,1.0,5.5,3.0204081632653055,1.0,5.0,1.0,1.0,1.0,3.6249999999999996,1.0
