country,AND,ARG,ARM,AUS,BGD,BOL,BRA,CAN,CHL,CHN,COL,CYP,CZE,DEU,ECU,EGY,ETH,GBR,GRC,GTM,HKG,IDN,IND,IRN,IRQ,JOR,JPN,KAZ,KEN,KGZ,KOR,LBN,LBY,MAC,MAR,MDV,MEX,MMR,MNG,MYS,NGA,NIC,NIR,NLD,NZL,PAK,PER,PHL,PRI,ROU,RUS,SGP,SRB,SVK,THA,TJK,TUN,TUR,TWN,UKR,URY,USA,UZB,VEN,VNM,ZWE
AND,0.0,0.1336815036013758,0.08897182535783704,0.140260727968378,0.15647390432982328,0.07899030580150483,0.10016152903217156,0.10600981387841041,0.08895828384380879,0.10457882632264559,0.1605674846804479,0.16977589755651543,0.11037396646352529,0.15921301597169818,0.0901913617202811,0.12243150290950618,0.14069135098759544,0.17121167568304718,0.21105844976133006,0.10379025861257345,0.16976777042049573,0.2183296138817052,0.1741142819148804,0.06925907808810867,0.07853921653928193,0.1214516489284889,0.13062760752579353,0.07190064533501059,0.0730663158550056,0.1137874331840564,0.08799228436418047,0.0820731494453414,0.10370087148164274,0.13614437580704064,0.10510317779514727,0.07245951525574164,0.13645270145897676,0.09993430161926632,0.3499521701245819,0.1429573916986839,0.1175743981518887,0.10528239495948509,0.08047464845848763,0.09114735195671762,0.1034658667346347,0.11472383971055795,0.1326101215624854,0.10052845678841797,0.09584758865231069,0.12385208663108314,0.156837928639515,0.26869247145525404,0.08306727671638936,0.16072267767718937,0.1663613202912616,0.06751016962881595,0.11760666626818107,0.11644203144665259,0.1316672786801831,0.11507970821035535,0.17127787452232124,0.16089749573025847,0.1227040664693237,0.1744301968188066,0.11804051376626404,0.13606661474885767
ARG,0.1336815036013758,0.0,0.17114466915577858,0.1751762488579704,0.20866123993944924,0.1194144714572128,0.1488725542029355,0.13420309484908918,0.14587208136430074,0.14122389014717562,0.1473232683387691,0.1831002222493381,0.18090170602951103,0.16713450316010386,0.1196674360734759,0.13450254984422713,0.14314618786982178,0.23664855292387932,0.19419372296396908,0.12752290320261483,0.14738198027474778,0.19776246843975662,0.21179034713444644,0.12179341202503371,0.16433610911107052,0.17930328306308838,0.15251820035823474,0.13576518086508552,0.1398176588074752,0.1738501355320736,0.12965617068984622,0.09284606298932058,0.17560526510700286,0.14413721339251057,0.18346963179424364,0.16084525591251814,0.1328265587445193,0.15995732308828906,0.30118293121789536,0.1956211177122428,0.16739011877517662,0.16834092596683867,0.12470908511778679,0.1486898551920183,0.1451705762444298,0.08859170093598717,0.11199063276103086,0.14520227422686785,0.14415515970067663,0.12392123000958724,0.12536151606130572,0.23992927558489818,0.14356595704625286,0.12662128029550782,0.1515107139266857,0.12005189466836554,0.19225812265631495,0.1220479851528412,0.16330205714763701,0.11956711246262064,0.18564796851338536,0.15832168896161466,0.13927471716376633,0.2113242294681761,0.14099778527054407,0.1938402302698768
ARM,0.08897182535783704,0.17114466915577858,0.0,0.13233137159872171,0.19580954102720186,0.08887433000507533,0.12490800940440414,0.14767235168839024,0.1160854315453456,0.15499193853249785,0.15779179790972775,0.1659801573258192,0.11634639088429628,0.1352655287707501,0.10517834776386854,0.1608353015992924,0.18798534463193245,0.19473973994561977,0.21514704091006828,0.13362407454372965,0.17928780084370968,0.2400980991854599,0.22643610900994993,0.1220924407925229,0.14816631972452904,0.13408751060143856,0.14548969879927348,0.0993906560974961,0.10785511542908754,0.15064276539385585,0.09445089024112281,0.11749888057402004,0.1074312584132151,0.17373656920104047,0.11234462620315182,0.05966637739532994,0.1414279818801326,0.12095303360351305,0.36806821649863014,0.17008115458264303,0.1497508661881905,0.13785761839244892,0.0988799329005139,0.11240103573571866,0.1037685784901476,0.17350150247754462,0.14037642878162668,0.13462283175224524,0.08809161831203469,0.14906488278901875,0.16618420388918026,0.270237764228156,0.08665302118235695,0.15271655550118515,0.18759173643969898,0.10948025801954643,0.11984277705282914,0.1274641612884842,0.13472499837832494,0.11345742215622308,0.16516417192837285,0.21580197586903632,0.11253955638606238,0.21702385690937956,0.1631672807335244,0.18259824790691748
AUS,0.140260727968378,0.1751762488579704,0.13233137159872171,0.0,0.22330019724096556,0.14450272668759578,0.1486315063508608,0.15119157168427638,0.19953665481230623,0.11709278530648128,0.1385405032446947,0.09717858570485796,0.11756615808044572,0.0800311140263981,0.12849892432682958,0.19418227176577998,0.1749395242277641,0.11364702654315137,0.15119443441715202,0.1793822741234752,0.15068033962062619,0.1754625357934498,0.29494405147491365,0.12127436955528506,0.16986214549294817,0.2080879941514429,0.10039364696892494,0.1541998333872092,0.17042673848938383,0.16037606086896322,0.1273416714837387,0.17430928145047736,0.14358711389090578,0.13057670608517624,0.18662907104730647,0.12224650423730629,0.08150987448152858,0.17162440157085995,0.31071031075021444,0.14483859684464342,0.18381069329475147,0.20317755158297213,0.07937153331655747,0.09440834056238116,0.05442178795197574,0.16947906576867766,0.1460660164005465,0.20777707458754124,0.13299247563547203,0.1685476238721475,0.13842510885606124,0.20163819055351917,0.14913628764539594,0.11500231856196516,0.1201620152397983,0.18104295526037026,0.21326333972294018,0.17657334726180637,0.11567334741807525,0.14177671681505166,0.10749095589220092,0.15809564686588323,0.12446373607081153,0.2989610055763646,0.2235818081270525,0.25238240221031605
BGD,0.15647390432982328,0.20866123993944924,0.19580954102720186,0.22330019724096556,0.0,0.17257016212805834,0.11297573928241736,0.1257163005049522,0.1628920110052346,0.17083810111822814,0.26575129651539936,0.2607921650719502,0.17283755963434458,0.25561570806044154,0.2099308486892916,0.1468908776581477,0.13307462235194736,0.21299397054575442,0.28547413347348977,0.18720820071936448,0.2501911165605388,0.28092252781712723,0.14604146357563244,0.17862275536472105,0.13542463292378334,0.17467822112203985,0.20877643602965043,0.14546935396705196,0.17594917648901143,0.1166299050435667,0.1697900244692574,0.16896324647349914,0.15324850819331443,0.22226790418025133,0.15918621865446897,0.17574669245283933,0.2269117430618032,0.1515197992458999,0.41020650415593807,0.12354394740921153,0.071067595368584,0.1468454610655217,0.17822197157071404,0.17493726513823724,0.19552303514127387,0.16119959304885537,0.247444591984907,0.13465054883613856,0.19318570736842058,0.21896219076110285,0.2303410291597029,0.3460674984570375,0.17746701148973948,0.26184208379510227,0.26310182828810796,0.17184567388379657,0.15858549340204656,0.2103205465351668,0.19696593549063102,0.20636229752939736,0.22715532114151463,0.17560026522928232,0.22237394427155407,0.18310804400417754,0.14258833265752444,0.11179363664748544
BOL,0.07899030580150483,0.1194144714572128,0.08887433000507533,0.14450272668759578,0.17257016212805834,0.0,0.10763835294426176,0.12109865622638304,0.08730931582499235,0.12528542957415223,0.13045584837662164,0.15552375925886655,0.12440548177831658,0.1446667663013135,0.06870008777548456,0.13488695097217618,0.1539393657793936,0.1990815798677436,0.1885023514777188,0.09978800218332579,0.14393426437464765,0.2202705935847522,0.18938184791574098,0.08773383401952811,0.12435043294552117,0.14126627898310895,0.12508847758481823,0.07019506153658996,0.06798064514871867,0.14992388516270172,0.09938392750590302,0.07586884614009573,0.10457195776836258,0.15158380138394897,0.11852914418469018,0.08881623469648639,0.13073241112781434,0.09910886136200811,0.331798278174266,0.16751545136905951,0.13066813137472205,0.103769514454268,0.08105184118628403,0.1094034897854328,0.1085858375096973,0.11854750351177892,0.09883824029398405,0.09153641735529693,0.09006061898938683,0.10251545267160753,0.12568759653695996,0.2503591288728231,0.05169503522939396,0.1286741599777051,0.16170417557755185,0.08198146051446299,0.1227520088467278,0.10857449498813039,0.11376826583511274,0.08033529146277464,0.15063587486634494,0.18662009829064477,0.09906243142020113,0.1861299894620237,0.12427795844607246,0.15523310791292128
BRA,0.10016152903217156,0.1488725542029355,0.12490800940440414,0.1486315063508608,0.11297573928241736,0.10763835294426176,0.0,0.10107130915083551,0.12906055694352697,0.12157189902363527,0.18344098302354384,0.18118869412796437,0.11062292388508958,0.1631152344296569,0.13672381136850634,0.1315218342273726,0.11763805651886125,0.17429618367808952,0.20317227594908574,0.12409062109091887,0.18041701346478511,0.229311819356585,0.18500935805082871,0.11000160025445589,0.1254900684119022,0.15927983388290096,0.13119863484795227,0.10317731354699124,0.13066078901363692,0.10677075029498227,0.10273989837900341,0.11523572858644451,0.10185424926474003,0.1665294834384514,0.12112690958456551,0.11670612634527788,0.14196036094423192,0.12795778146697645,0.3520850312634506,0.12154862747212204,0.08000774594274487,0.12879683983527776,0.105944348273232,0.12172445435535255,0.11602741044725139,0.13165704493409086,0.1659951452516141,0.10794216854180763,0.11261272365704468,0.1607798999009304,0.142359116219058,0.2705561490285775,0.11005699653900891,0.17825003167407028,0.18881406598869474,0.12038271001689374,0.13582488757810654,0.1555162206011818,0.13046237370174285,0.12462786994408602,0.14632195775352996,0.15938362536052708,0.14676704794095025,0.19925593224136573,0.14110785567753875,0.14695100109612422
CAN,0.10600981387841041,0.13420309484908918,0.14767235168839024,0.15119157168427638,0.1257163005049522,0.12109865622638304,0.10107130915083551,0.0,0.12520698235967115,0.11195029616228366,0.18126927653754565,0.18915113128748923,0.13666957087182352,0.18284547769040382,0.1437639150504621,0.11350372002747457,0.08131662698911361,0.17605846532568373,0.21865477018747032,0.1468606201505975,0.16173431412599826,0.20300299675272773,0.1724302265486178,0.10459934978617422,0.10892054036003704,0.14992339696557858,0.1328045385071137,0.10111979793271815,0.11178214288832183,0.08210570068496102,0.09694274543971594,0.11666548617793214,0.10728769868499417,0.12603067034516774,0.13918685047051405,0.11349315360891285,0.14303482476360124,0.09250954731032122,0.3424815343842178,0.09513788932039567,0.09169741956637634,0.1311894705191624,0.09965877422501311,0.10538177981554538,0.12978466959394902,0.11336316991026388,0.17065250551222474,0.11453191471754111,0.13284208124583533,0.14584146108753038,0.15832949684883868,0.2676215106294462,0.12037156788671498,0.17318517102767977,0.17941031677530878,0.12015220572444894,0.16057955408156305,0.13306364710523588,0.13208815940231836,0.14886622702283897,0.16639393522560708,0.1271296048505266,0.13678633966111461,0.1994307230330081,0.12399371033138283,0.14259049975314822
CHL,0.08895828384380879,0.14587208136430074,0.1160854315453456,0.19953665481230623,0.1628920110052346,0.08730931582499235,0.12906055694352697,0.12520698235967115,0.0,0.1579171181899592,0.17894398226403657,0.2127420285407376,0.16340424940282147,0.20721188607845062,0.12153790863295852,0.14077796367766268,0.15817795186895292,0.2347807482394784,0.24396156648119027,0.11919589335305909,0.18668752971221667,0.2465398304099417,0.13762441468027659,0.1136432941861791,0.1252589786025789,0.13057443693319423,0.17160886790850285,0.09086126918912805,0.06729292052697305,0.15013140503666497,0.12269659744012576,0.08983433918154395,0.13202654401400474,0.17490105017095306,0.11966340861307255,0.108243677667962,0.18142758962346456,0.09147217145780911,0.3648168484753181,0.17493522229682953,0.13018446481111343,0.07601146887440256,0.13336101685812857,0.14620676464451218,0.16166299758531116,0.13526871048911598,0.15231835299173282,0.06842336391421623,0.13599110734996578,0.125448796341222,0.17870841367427678,0.2964631770850926,0.08810069318242512,0.1896241041456568,0.21131170254815274,0.07943783534544527,0.11461445469413006,0.12528554059030092,0.1543802829764908,0.13905142715381283,0.20616827565131338,0.2069046144337967,0.15262990010595168,0.14119581900834613,0.0941458463051205,0.10394209447634564
CHN,0.10457882632264559,0.14122389014717562,0.15499193853249785,0.11709278530648128,0.17083810111822814,0.12528542957415223,0.12157189902363527,0.11195029616228366,0.1579171181899592,0.0,0.14078167244467815,0.12142587925425223,0.14423995887996655,0.14657529270655503,0.11028743692518062,0.16970777359544997,0.10811553734077586,0.11959257681207386,0.151840987885871,0.16789526782240252,0.12660733363117255,0.15204517224335484,0.2263877054422705,0.07729905900832147,0.11277711179398273,0.19547905742832367,0.08073615696398198,0.13262119099554723,0.13179055292976885,0.13137162106454528,0.13316413608677294,0.14450469480652878,0.1300951962585684,0.0824531911358764,0.16648342056418106,0.12429130109150759,0.1088026870340965,0.12899303077494143,0.2795347939146241,0.11453443213328615,0.1456971091981379,0.14286396227896828,0.08576573439430069,0.09875193421713682,0.09906171701944605,0.10985196771043154,0.13480841423990025,0.1619552391096319,0.15140024870274987,0.11619280394284137,0.1273381937523084,0.2057052675248822,0.13368342517686857,0.14768479199355922,0.1081978852659499,0.14540341316458508,0.19657537140186998,0.16623013611767623,0.09556949767260757,0.15788297928769132,0.12209399637969291,0.09513977142681242,0.1445657183672554,0.2468449415096197,0.178175531519012,0.19283837261267073
