country,ALB,BGD,BIH,CAN,CHL,DZA,EGY,ESP,IDN,IND,JOR,KGZ,MAR,MDA,MEX,MKD,MNE,NGA,PAK,PHL,PRI,SAU,SRB,SWE,USA,VEN,VNM
ALB,0.0,0.17550247614001405,0.16741545398422145,0.22002157425215318,0.15338011003820484,0.17278372334572,0.09909910021506455,0.3752545864566068,0.19441836036560417,0.22572200788658875,0.3020921191141634,0.1919710927213611,0.15714331694559616,0.16024590525380414,0.22245513157087843,0.1845273918339088,0.2462169856664158,0.2280298054571873,0.18407768033192815,0.13227768942779117,0.15848591814721635,0.29200033310084095,0.176657115012351,0.24387553090913924,0.09458867436810958,0.15918720437551603,0.06957391841931103
BGD,0.17550247614001405,0.0,0.2228954539459806,0.2977228273149747,0.21934360018741417,0.1306186073184812,0.1895902465864711,0.42113340535278354,0.23812650583858067,0.21774448630288135,0.3403112885988942,0.234966585597828,0.1873317633994202,0.219678350012252,0.3061075974031076,0.22995151480540452,0.27744787195572757,0.13802124270736982,0.1336503535640704,0.23618459189928123,0.286948235377395,0.30493696056652736,0.21510535345036547,0.2841772029879368,0.18770781088417762,0.16007695644132405,0.20365703418590397
BIH,0.16741545398422145,0.2228954539459806,0.0,0.17988325227987767,0.16073069502495155,0.20877341425387874,0.2105356914063174,0.35154978434398565,0.1314643069131772,0.28093182452461646,0.3004972209654438,0.26119062423226724,0.16973587933336365,0.18390708320736943,0.19791671562037713,0.11451927096067963,0.2112626111965895,0.257369479471084,0.20010087845173727,0.13165119854471927,0.16801092279594235,0.21917316476112672,0.15219651394882577,0.22239860490112495,0.10380397857222085,0.15696530677956835,0.1565597665647785
CAN,0.22002157425215318,0.2977228273149747,0.17988325227987767,0.0,0.15633611965564098,0.22187067828761733,0.2149365819776015,0.22828366856062302,0.1715685396054914,0.26496622542850184,0.1807141635690701,0.2441677263746392,0.16528402897802344,0.1303584824788093,0.11547624021630282,0.1123021493634738,0.12287187771944887,0.30275874394181435,0.2714197057316392,0.1669594868660215,0.151949688049072,0.16034030099934618,0.13684599032368105,0.09808585231668773,0.17235048097628192,0.18620693176587882,0.21824145620809143
CHL,0.15338011003820484,0.21934360018741417,0.16073069502495155,0.15633611965564098,0.0,0.1415224533157983,0.18408466754506206,0.2878511849504298,0.18091846031521885,0.24885727533226726,0.2484242350502908,0.2057347985064331,0.1513871068209931,0.10933618357415692,0.1522221246716957,0.10125882777154004,0.2003088606430075,0.24540899579816647,0.20695005825108287,0.1042286778780201,0.1189056912176873,0.18775926841767665,0.135791909103649,0.16889962112189402,0.13515592340465166,0.15662345886489937,0.16208433461128036
DZA,0.17278372334572,0.1306186073184812,0.20877341425387874,0.22187067828761733,0.1415224533157983,0.0,0.18199202447268958,0.349753742541328,0.22843806845722597,0.2256845987185443,0.2842508724406777,0.22700324798312027,0.16225212513659276,0.15753680394419178,0.24293236695532927,0.1660165783406178,0.2206735626143213,0.18679819148424695,0.18740161776917816,0.18988259086694506,0.23068341997485864,0.22686542324491096,0.18237422035430625,0.20864474976126693,0.16412795886290368,0.14615579731441747,0.19110733190878096
EGY,0.09909910021506455,0.1895902465864711,0.2105356914063174,0.2149365819776015,0.18408466754506206,0.18199202447268958,0.0,0.3575898560048525,0.20779103560637094,0.1919009234785361,0.27258107004517806,0.17907569478710123,0.1568390881677584,0.15108192110937432,0.22699784377735494,0.19842879616208273,0.24082463486374797,0.22078499395892584,0.19075413367692476,0.171151288460167,0.18758244707367458,0.291586271609617,0.17197546647305387,0.22757149514527253,0.1297103322563187,0.1639645697462322,0.12052290212423927
ESP,0.3752545864566068,0.42113340535278354,0.35154978434398565,0.22828366856062302,0.2878511849504298,0.349753742541328,0.3575898560048525,0.0,0.3031472030018348,0.2875467334566395,0.1151079017749134,0.2644669669799666,0.26066615722690095,0.22787330703439732,0.176757888340936,0.27789590759763494,0.1994393330107969,0.36497729195021544,0.3602519951218935,0.34430602430596935,0.28824974921852425,0.24603204292724662,0.23850504220957455,0.1721328255590098,0.36009326684937903,0.33292095738183175,0.39957288587407236
IDN,0.19441836036560417,0.23812650583858067,0.1314643069131772,0.1715685396054914,0.18091846031521885,0.22843806845722597,0.20779103560637094,0.3031472030018348,0.0,0.24225270270963614,0.24180548975618776,0.21344512140683336,0.1584570348305706,0.1710038819648592,0.18609464651874846,0.14434037475655262,0.19582409943728113,0.22872890509309413,0.16849241493224265,0.16344694484571154,0.17617453760538618,0.24269766958960923,0.13769331429205775,0.1875194847192333,0.14587758044240745,0.12391263117775086,0.1946436392494204
IND,0.22572200788658875,0.21774448630288135,0.28093182452461646,0.26496622542850184,0.24885727533226726,0.2256845987185443,0.1919009234785361,0.2875467334566395,0.24225270270963614,0.0,0.2004079863950246,0.09940232487182778,0.13545489822199966,0.1679145171249819,0.2361159565690518,0.25903967015912394,0.20504695478588508,0.14298609509623664,0.17663410317054248,0.28663660719374007,0.2738945749252164,0.30514348545905934,0.17886684503568506,0.21615871434873352,0.24906948540820806,0.20792454875490904,0.2715947648387101
