country,ALB,AUS,BGD,BGR,BIH,BLR,BRA,CHE,CHL,CHN,COL,DEU,DOM,ESP,HUN,IND,LTU,LVA,MDA,MEX,MKD,MNE,NGA,NOR,PAK,POL,PRI,ROU,RUS,SRB,SVK,SVN,TWN,UKR,URY,USA,VEN,ZAF
ALB,0.0,0.1906023807133158,0.2144797872665333,0.22168512087749337,0.13450295433365086,0.3268193475367156,0.13985154557947466,0.27032228439475925,0.15918731088721289,0.12635769384550602,0.14908528558494755,0.33061533235812457,0.09257383988269427,0.33670149176254033,0.3553269351967431,0.14159223384294756,0.11213482902888537,0.14670151609935994,0.22759634400539,0.11143225488808753,0.1700109989609651,0.14342378795257504,0.25823659465035437,0.14557716635430562,0.4105169008974041,0.24655310726909502,0.13413976801862268,0.20771983129371652,0.2724479445092058,0.3037475929956722,0.23402072917287486,0.29838492907974545,0.3161552789150427,0.16419982549980933,0.14705560624377456,0.13933199782896646,0.11909246913173396,0.20019575911634532
AUS,0.1906023807133158,0.0,0.29088071795497805,0.18613989497487848,0.24384935258249626,0.30481566143835376,0.20500225685870496,0.15814486180334913,0.18966809710679017,0.1356004809724743,0.11403731233536465,0.18074159614605573,0.20261485232971652,0.20031064255097636,0.2004145979113513,0.19338030130765949,0.17181264552487943,0.2675985971228313,0.15616130362947447,0.17483693430021266,0.12229911060060131,0.15218362978242156,0.32748729200647336,0.11767091855794846,0.4340571959346077,0.12873793275890097,0.10913355936024036,0.17458558413235925,0.22376327835191615,0.18210266384357873,0.20542144825762634,0.17883717198124932,0.24166533227522585,0.18088516451586054,0.06838511836144946,0.12363920091960183,0.1582087281063603,0.2457339994374449
BGD,0.2144797872665333,0.29088071795497805,0.0,0.22454295566446877,0.22325322693077457,0.2217734390030743,0.19874139355506507,0.3429199036721238,0.1665762265661775,0.1863307171857408,0.2148622381252542,0.3857644405000362,0.2173181170416326,0.353716572163238,0.40064193046380436,0.18453138471168506,0.16834754528339926,0.13583709732429564,0.27714310023148003,0.17849984082259718,0.21344542352466472,0.25760090291841736,0.10373131970837221,0.20320974013241974,0.2994645365396193,0.3051265338890585,0.2100276969397381,0.17975794565201142,0.23880112247732263,0.3289124662299384,0.21406945048518228,0.30735175981185064,0.28808957100232085,0.22400595132307705,0.24911311100613104,0.2421357954412952,0.19301827448803172,0.10314059183624683
BGR,0.22168512087749337,0.18613989497487848,0.22454295566446877,0.0,0.261193834613209,0.1944986025267049,0.2458378893111089,0.20005510621086883,0.12913994224979813,0.1557218307229274,0.1459673419321776,0.2272353654059763,0.22682065401956641,0.24868309793667223,0.26392258537080066,0.23117753498213095,0.1503230817526274,0.23951358638354228,0.1866186650704335,0.17945941723230638,0.15513024322672342,0.22444979495973197,0.22738842251245164,0.11206295580330176,0.2814028138699817,0.16254453806474783,0.15897828645671863,0.17246145333514895,0.13075192692583318,0.20238527302897838,0.12883390386655125,0.15875869513178306,0.2344922895369523,0.20543523737420363,0.17002088129022794,0.16601764925535353,0.2177324308243334,0.19130040507039053
BIH,0.13450295433365086,0.24384935258249626,0.22325322693077457,0.261193834613209,0.0,0.3396143525462199,0.19241806254334215,0.27778811633464007,0.16193798473464804,0.18020900495259415,0.1758782420398643,0.36953645453987743,0.11264413821629897,0.34871212515569455,0.3722435846359237,0.19030245419630348,0.13137675763980722,0.14808559296663554,0.22163203611356477,0.12187175131624824,0.21757012076926813,0.13645902343753966,0.2666627429962829,0.20318912948427484,0.4263374686311413,0.2993550711665078,0.1842426171152354,0.21166375110358887,0.2860977936935138,0.3040018674029264,0.27170442627988256,0.34036518753935313,0.308488858947204,0.12327530703803012,0.19950168956930953,0.20624346338700847,0.1644427638709331,0.17839488769387138
BLR,0.3268193475367156,0.30481566143835376,0.2217734390030743,0.1944986025267049,0.3396143525462199,0.0,0.33912072075731764,0.2791356276046964,0.21424141149689493,0.27072989934343894,0.26617967491104716,0.29164108061954364,0.3377897905912682,0.25608280979996695,0.3007513209241339,0.3118189447702473,0.24149331786443168,0.27817516257040426,0.23359120043985754,0.28190008746769946,0.26315134648398397,0.3092370151318274,0.18169364529484827,0.23832964253827688,0.18586451704785736,0.23679472034718296,0.2506290203454323,0.18094971698535026,0.11102332288358871,0.2344051409249924,0.12708376173461566,0.20476390072563144,0.17783435729852484,0.29138351587760736,0.28546124252534827,0.3085173584240769,0.2876328527087677,0.18392170265581978
BRA,0.13985154557947466,0.20500225685870496,0.19874139355506507,0.2458378893111089,0.19241806254334215,0.33912072075731764,0.0,0.32506749552832553,0.18939441194485226,0.1341631153152553,0.15763894453321856,0.3530592224004279,0.12715231318960052,0.3481201829607457,0.371763634769955,0.07122704299918896,0.17539791075382327,0.17034271490218042,0.27554542284989597,0.1348720551947503,0.133919372111936,0.19523848856952367,0.2628051406875446,0.15823696246426813,0.44876623383515263,0.27762350918632034,0.14682979381433406,0.21283116023010487,0.30407761414416945,0.32031650934010625,0.26585879734924617,0.3070483174495573,0.3312281280656589,0.20906713827296275,0.17089673234514993,0.13451290057873047,0.12298497129910453,0.21015128741947806
CHE,0.27032228439475925,0.15814486180334913,0.3429199036721238,0.20005510621086883,0.27778811633464007,0.2791356276046964,0.32506749552832553,0.0,0.21794775331777716,0.22951052604049932,0.18816354789244685,0.14160633271279996,0.2815278084620126,0.1488968319012634,0.13774405458925665,0.30532208271112604,0.20913357235718105,0.3171593242788288,0.09413881148746077,0.24662202457484228,0.22563288175901142,0.19068175835487644,0.3471164567835709,0.19477712477178277,0.3931945677873194,0.12633330499374087,0.19372902547802165,0.19626727987295667,0.17498533020427723,0.11445912602756989,0.19952619015468748,0.16845816302108102,0.18463711317486844,0.19782791086377102,0.1739473185618152,0.2346570475445026,0.24735368067130267,0.2667654579814682
CHL,0.15918731088721289,0.18966809710679017,0.1665762265661775,0.12913994224979813,0.16193798473464804,0.21424141149689493,0.18939441194485226,0.21794775331777716,0.0,0.11994964983578722,0.11689899897779023,0.2835487232354391,0.15385102830217554,0.2710603726029004,0.3005531856600354,0.17509810978720755,0.09379826385676635,0.15918760938531665,0.1642949219705192,0.10461366456235682,0.14130208365838945,0.15437983205491873,0.19237112095152373,0.11590644695470562,0.31577170590655673,0.20337512319298962,0.11964524889795493,0.12735395194867224,0.16878642328849558,0.2184765033429896,0.13925661548800633,0.22781237804605145,0.2274164501533864,0.1443365639303164,0.15292801702784214,0.15594945560930085,0.16062915755440646,0.10970912460240823
CHN,0.12635769384550602,0.1356004809724743,0.1863307171857408,0.1557218307229274,0.18020900495259415,0.27072989934343894,0.1341631153152553,0.22951052604049932,0.11994964983578722,0.0,0.11036243982745886,0.2819461575044887,0.14658178828976529,0.2799333552086348,0.297152379902586,0.1037581462024672,0.09802713144994168,0.16969525819954773,0.1909092624936837,0.08467101418711953,0.11004166665358703,0.16423551967992106,0.2338091656897138,0.09190735948735573,0.3716837933797752,0.19765247943365186,0.09104180268382993,0.15373938568561898,0.21653085482164952,0.24802065336123402,0.1853117721435856,0.23599907298590703,0.26712704014621447,0.13474307673516597,0.11877324228449006,0.12047332559009688,0.09445442629996831,0.16321103782894927
