sexo,escol,Tam_loc,agg_children_rights_recognition_and_respect,agg_perceived_situation_of_children_and_youth,agg_youth_educational_opportunity_and_labor_prospects,agg_youth_participation_and_voice
2.0,2.0,2.0,3.25,4.857142857142858,3.25,2.607142857142857
1.0,4.0,2.0,1.0,4.857142857142858,2.125,1.0
2.0,3.0,2.0,1.0,3.5714285714285716,1.0,2.607142857142857
1.0,3.0,2.0,1.0,4.857142857142858,2.125,1.6428571428571428
2.0,4.0,2.0,1.0,4.214285714285714,2.125,1.6428571428571428
2.0,5.0,2.0,1.0,4.214285714285714,2.125,1.6428571428571428
1.0,3.0,2.0,1.0,3.5714285714285716,2.125,1.9642857142857144
1.0,3.0,2.0,8.875,3.5714285714285716,2.125,2.2857142857142856
2.0,3.0,2.0,1.0,3.5714285714285716,2.125,1.6428571428571428
1.0,3.0,2.0,1.0,4.857142857142858,2.125,1.0
1.0,1.0,2.0,3.25,4.214285714285714,1.0,3.5714285714285716
1.0,4.0,2.0,1.0,3.5714285714285716,1.0,1.9642857142857144
2.0,4.0,2.0,1.0,4.857142857142858,2.125,1.0
1.0,3.0,2.0,3.25,4.214285714285714,2.125,1.6428571428571428
1.0,3.0,2.0,3.25,4.214285714285714,2.125,1.0
1.0,3.0,2.0,3.25,2.2857142857142856,1.0,1.3214285714285714
2.0,2.0,2.0,3.25,7.428571428571429,2.125,1.6428571428571428
2.0,4.0,2.0,3.25,2.2857142857142856,1.0,1.3214285714285714
2.0,1.0,2.0,3.25,4.214285714285714,2.125,1.6428571428571428
1.0,4.0,2.0,1.0,4.857142857142858,1.0,1.0
2.0,4.0,2.0,3.25,2.928571428571429,2.125,1.9642857142857144
2.0,2.0,2.0,3.25,2.2857142857142856,2.125,1.0
2.0,3.0,2.0,1.0,6.785714285714286,2.125,2.2857142857142856
2.0,1.0,2.0,1.0,4.857142857142858,2.125,1.0
1.0,1.0,1.0,3.25,4.857142857142858,1.0,1.3214285714285714
2.0,3.0,1.0,1.0,4.857142857142858,1.0,1.6428571428571428
1.0,4.0,1.0,3.25,4.857142857142858,1.0,1.3214285714285714
2.0,1.0,1.0,1.0,4.214285714285714,1.0,1.0
1.0,3.0,1.0,3.25,4.214285714285714,1.0,1.9642857142857144
2.0,4.0,1.0,1.0,4.857142857142858,1.0,1.6428571428571428
1.0,3.0,1.0,1.0,4.214285714285714,1.0,1.3214285714285714
2.0,3.0,1.0,1.0,4.214285714285714,1.0,1.0
1.0,4.0,1.0,3.25,4.214285714285714,1.0,1.6428571428571428
2.0,5.0,1.0,1.0,4.857142857142858,1.0,1.6428571428571428
2.0,4.0,1.0,1.0,4.214285714285714,1.0,1.3214285714285714
2.0,3.0,1.0,3.25,4.214285714285714,1.0,1.9642857142857144
2.0,3.0,1.0,1.0,8.071428571428571,2.125,1.6428571428571428
1.0,4.0,1.0,1.0,4.857142857142858,2.125,1.6428571428571428
1.0,4.0,1.0,3.25,4.857142857142858,2.125,1.3214285714285714
1.0,3.0,1.0,3.25,4.857142857142858,2.125,1.3214285714285714
2.0,4.0,1.0,3.25,4.857142857142858,3.25,1.3214285714285714
2.0,2.0,1.0,3.25,4.857142857142858,2.125,1.3214285714285714
1.0,3.0,1.0,3.25,4.857142857142858,1.0,1.3214285714285714
1.0,2.0,1.0,3.25,4.857142857142858,2.125,1.3214285714285714
1.0,4.0,1.0,3.25,4.857142857142858,2.125,1.3214285714285714
2.0,3.0,1.0,3.25,3.5714285714285716,10.0,1.6428571428571428
1.0,3.0,1.0,3.25,4.214285714285714,8.875,1.3214285714285714
2.0,4.0,1.0,2.125,4.214285714285714,2.125,1.6428571428571428
1.0,4.0,2.0,1.0,4.214285714285714,2.125,1.0
1.0,4.0,2.0,3.25,4.857142857142858,2.125,1.0
1.0,4.0,2.0,1.0,4.214285714285714,2.125,1.0
1.0,4.0,2.0,1.0,4.214285714285714,2.125,1.0
1.0,2.0,2.0,3.25,4.857142857142858,3.25,1.0
1.0,4.0,2.0,1.0,3.5714285714285716,2.125,1.0
2.0,4.0,2.0,1.0,6.785714285714286,3.25,1.0
1.0,3.0,2.0,1.0,4.214285714285714,1.0,1.0
1.0,3.0,2.0,1.0,4.214285714285714,2.125,1.0
1.0,4.0,2.0,1.0,4.214285714285714,2.125,1.0
1.0,3.0,2.0,3.25,4.857142857142858,2.125,1.0
1.0,4.0,2.0,3.25,7.428571428571429,2.125,1.0
1.0,4.0,2.0,1.0,4.857142857142858,2.125,1.0
1.0,4.0,2.0,3.25,4.857142857142858,3.25,1.0
1.0,4.0,2.0,1.0,4.214285714285714,3.25,1.0
1.0,4.0,2.0,1.0,4.857142857142858,2.125,1.0
1.0,2.0,2.0,1.0,4.857142857142858,8.875,1.0
1.0,3.0,2.0,1.0,6.785714285714286,2.125,1.0
2.0,3.0,2.0,1.0,2.928571428571429,1.0,1.9642857142857144
2.0,3.0,2.0,1.0,4.214285714285714,1.0,1.3214285714285714
1.0,3.0,2.0,3.25,4.214285714285714,1.0,1.0
2.0,3.0,2.0,1.0,4.857142857142858,2.125,1.0
1.0,1.0,2.0,3.25,4.214285714285714,1.0,1.0
2.0,2.0,2.0,3.25,4.857142857142858,2.125,1.0
2.0,4.0,4.0,1.0,3.5714285714285716,1.0,1.9642857142857144
1.0,3.0,4.0,1.0,1.0,1.0,1.9642857142857144
1.0,2.0,4.0,1.0,3.5714285714285716,1.0,2.2857142857142856
2.0,4.0,4.0,1.0,1.6428571428571428,1.0,1.3214285714285714
1.0,3.0,4.0,2.125,3.5714285714285716,1.0,2.607142857142857
1.0,4.0,4.0,2.125,3.5714285714285716,1.0,3.25
2.0,3.0,4.0,2.125,4.857142857142858,1.0,4.214285714285714
1.0,3.0,4.0,2.125,2.2857142857142856,1.0,2.928571428571429
2.0,3.0,4.0,2.125,2.928571428571429,1.0,2.2857142857142856
2.0,2.0,4.0,2.125,2.2857142857142856,1.0,1.6428571428571428
1.0,2.0,4.0,1.0,2.2857142857142856,1.0,2.2857142857142856
2.0,4.0,4.0,1.0,3.5714285714285716,1.0,2.2857142857142856
1.0,2.0,3.0,3.25,4.857142857142858,1.0,2.607142857142857
1.0,2.0,3.0,2.125,3.5714285714285716,1.0,3.892857142857143
2.0,1.0,3.0,2.125,2.928571428571429,1.0,2.928571428571429
1.0,3.0,3.0,1.0,1.0,1.0,2.928571428571429
2.0,4.0,3.0,1.0,2.2857142857142856,2.125,2.607142857142857
1.0,4.0,3.0,3.25,2.2857142857142856,1.0,2.2857142857142856
2.0,2.0,3.0,2.125,4.857142857142858,1.0,3.5714285714285716
1.0,1.0,3.0,1.0,2.2857142857142856,1.0,1.9642857142857144
2.0,3.0,3.0,2.125,2.2857142857142856,1.0,2.2857142857142856
2.0,2.0,3.0,2.125,2.2857142857142856,1.0,4.214285714285714
2.0,3.0,3.0,2.125,3.5714285714285716,1.0,3.892857142857143
2.0,4.0,3.0,2.125,2.2857142857142856,1.0,4.214285714285714
1.0,4.0,3.0,2.125,2.928571428571429,1.0,3.5714285714285716
1.0,4.0,3.0,2.125,2.2857142857142856,1.0,2.928571428571429
2.0,4.0,3.0,2.125,3.5714285714285716,1.0,3.25
1.0,2.0,3.0,3.25,3.5714285714285716,1.0,4.214285714285714
2.0,4.0,3.0,2.125,1.6428571428571428,1.0,1.0
1.0,4.0,3.0,2.125,2.928571428571429,2.125,2.2857142857142856
1.0,4.0,3.0,2.125,2.2857142857142856,1.0,3.25
2.0,3.0,3.0,3.25,2.928571428571429,1.0,3.25
1.0,3.0,3.0,2.125,1.6428571428571428,1.0,2.607142857142857
2.0,3.0,3.0,2.125,3.5714285714285716,1.0,2.607142857142857
2.0,3.0,3.0,2.125,2.928571428571429,1.0,3.892857142857143
2.0,3.0,3.0,2.125,2.2857142857142856,1.0,1.9642857142857144
2.0,3.0,4.0,1.0,3.5714285714285716,2.125,1.6428571428571428
2.0,2.0,4.0,3.25,4.214285714285714,2.125,1.6428571428571428
2.0,3.0,4.0,3.25,2.928571428571429,8.875,1.9642857142857144
1.0,4.0,4.0,3.25,8.071428571428571,2.125,1.6428571428571428
1.0,1.0,4.0,1.0,3.5714285714285716,2.125,2.2857142857142856
2.0,3.0,4.0,8.875,4.214285714285714,3.25,1.6428571428571428
1.0,3.0,4.0,3.25,3.5714285714285716,3.25,3.25
2.0,4.0,4.0,3.25,7.428571428571429,1.0,1.0
1.0,4.0,4.0,1.0,2.2857142857142856,1.0,1.6428571428571428
1.0,4.0,4.0,1.0,4.214285714285714,1.0,3.5714285714285716
2.0,3.0,4.0,1.0,3.5714285714285716,3.25,3.5714285714285716
2.0,3.0,4.0,3.25,7.428571428571429,8.875,1.9642857142857144
2.0,5.0,1.0,3.25,4.857142857142858,1.0,1.6428571428571428
1.0,2.0,1.0,3.25,2.928571428571429,2.125,2.607142857142857
1.0,4.0,1.0,4.375,4.214285714285714,3.25,1.6428571428571428
1.0,4.0,1.0,1.0,10.0,10.0,1.0
2.0,4.0,1.0,1.0,4.857142857142858,2.125,1.9642857142857144
2.0,4.0,1.0,3.25,3.5714285714285716,3.25,2.607142857142857
2.0,3.0,1.0,3.25,2.928571428571429,3.25,1.6428571428571428
2.0,2.0,1.0,1.0,7.428571428571429,3.25,1.0
2.0,4.0,1.0,1.0,8.071428571428571,2.125,1.0
1.0,4.0,1.0,3.25,3.5714285714285716,2.125,2.2857142857142856
1.0,3.0,1.0,3.25,10.0,10.0,1.0
2.0,4.0,1.0,1.0,1.0,3.25,1.0
1.0,1.0,1.0,1.0,4.857142857142858,2.125,2.2857142857142856
2.0,1.0,1.0,3.25,3.5714285714285716,1.0,3.5714285714285716
2.0,4.0,1.0,3.25,5.5,3.25,1.0
2.0,4.0,1.0,3.25,6.142857142857143,1.0,1.3214285714285714
1.0,5.0,1.0,1.0,3.5714285714285716,2.125,1.6428571428571428
2.0,3.0,1.0,3.25,3.5714285714285716,1.0,1.9642857142857144
2.0,3.0,1.0,4.375,3.5714285714285716,2.125,1.6428571428571428
1.0,4.0,1.0,1.0,7.428571428571429,2.125,1.0
1.0,3.0,1.0,1.0,3.5714285714285716,1.0,2.2857142857142856
1.0,4.0,1.0,3.25,1.6428571428571428,2.125,2.607142857142857
1.0,4.0,1.0,3.25,6.785714285714286,8.875,1.0
2.0,3.0,1.0,1.0,6.785714285714286,2.125,1.3214285714285714
1.0,1.0,1.0,3.25,2.928571428571429,2.125,1.0
1.0,3.0,1.0,1.0,1.6428571428571428,2.125,1.0
1.0,3.0,1.0,1.0,2.928571428571429,1.0,1.0
1.0,3.0,1.0,1.0,1.6428571428571428,2.125,1.0
1.0,3.0,1.0,1.0,2.928571428571429,2.125,1.6428571428571428
2.0,2.0,1.0,3.25,2.928571428571429,2.125,1.3214285714285714
2.0,4.0,1.0,3.25,4.214285714285714,1.0,1.0
2.0,3.0,1.0,3.25,2.928571428571429,2.125,1.0
1.0,3.0,1.0,1.0,2.928571428571429,1.0,1.6428571428571428
1.0,4.0,1.0,3.25,1.0,2.125,1.3214285714285714
2.0,4.0,1.0,3.25,2.928571428571429,1.0,2.607142857142857
2.0,3.0,1.0,3.25,1.6428571428571428,1.0,1.0
2.0,3.0,1.0,1.0,1.6428571428571428,1.0,1.9642857142857144
1.0,3.0,1.0,2.125,3.5714285714285716,2.125,2.2857142857142856
2.0,3.0,1.0,2.125,2.2857142857142856,2.125,1.9642857142857144
2.0,3.0,1.0,2.125,1.6428571428571428,2.125,1.9642857142857144
1.0,2.0,1.0,1.0,1.0,2.125,2.2857142857142856
2.0,3.0,1.0,1.0,3.5714285714285716,2.125,2.2857142857142856
2.0,2.0,1.0,1.0,1.0,2.125,1.6428571428571428
2.0,1.0,1.0,1.0,1.0,2.125,2.607142857142857
1.0,1.0,1.0,1.0,1.6428571428571428,2.125,1.6428571428571428
1.0,3.0,1.0,2.125,1.0,2.125,1.6428571428571428
1.0,3.0,1.0,2.125,1.6428571428571428,2.125,1.0
1.0,3.0,1.0,2.125,1.0,2.125,1.6428571428571428
1.0,3.0,3.0,3.25,2.2857142857142856,2.125,1.9642857142857144
2.0,3.0,3.0,2.125,1.0,2.125,1.9642857142857144
1.0,4.0,3.0,2.125,1.0,2.125,1.9642857142857144
2.0,3.0,3.0,2.125,2.928571428571429,2.125,1.9642857142857144
1.0,3.0,3.0,2.125,1.0,2.125,2.2857142857142856
1.0,3.0,3.0,1.0,1.6428571428571428,1.0,2.2857142857142856
1.0,1.0,3.0,1.0,2.928571428571429,1.0,2.928571428571429
1.0,1.0,3.0,1.0,1.0,1.0,1.0
1.0,2.0,3.0,1.0,1.0,1.0,1.0
1.0,3.0,3.0,2.125,3.5714285714285716,2.125,2.2857142857142856
1.0,5.0,3.0,1.0,1.0,1.0,1.0
1.0,4.0,3.0,2.125,2.928571428571429,2.125,2.607142857142857
1.0,3.0,3.0,2.125,3.5714285714285716,2.125,2.2857142857142856
1.0,3.0,3.0,2.125,2.928571428571429,2.125,2.607142857142857
2.0,3.0,3.0,1.0,4.214285714285714,2.125,1.9642857142857144
2.0,3.0,3.0,2.125,2.928571428571429,1.0,1.9642857142857144
1.0,1.0,3.0,2.125,2.2857142857142856,2.125,2.607142857142857
1.0,2.0,3.0,1.0,2.928571428571429,3.25,2.928571428571429
2.0,2.0,3.0,1.0,4.857142857142858,3.25,1.6428571428571428
1.0,2.0,3.0,1.0,1.0,1.0,1.0
1.0,4.0,3.0,1.0,1.6428571428571428,2.125,1.6428571428571428
1.0,3.0,3.0,1.0,1.0,1.0,1.0
1.0,4.0,3.0,1.0,1.0,1.0,1.0
1.0,1.0,3.0,1.0,1.0,1.0,1.0
1.0,4.0,1.0,3.25,1.0,1.0,1.0
2.0,3.0,1.0,1.0,1.0,1.0,1.0
1.0,3.0,1.0,3.25,2.2857142857142856,3.25,1.0
1.0,2.0,1.0,1.0,2.928571428571429,1.0,1.9642857142857144
1.0,4.0,1.0,3.25,3.5714285714285716,1.0,1.9642857142857144
2.0,3.0,1.0,3.25,2.928571428571429,1.0,2.2857142857142856
2.0,4.0,1.0,2.125,4.857142857142858,1.0,1.9642857142857144
2.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,2.0,1.0,3.25,2.928571428571429,2.125,1.0
2.0,2.0,1.0,1.0,4.857142857142858,2.125,1.0
2.0,3.0,1.0,3.25,2.928571428571429,2.125,1.0
2.0,4.0,1.0,3.25,4.857142857142858,1.0,1.6428571428571428
2.0,3.0,1.0,1.0,1.6428571428571428,1.0,1.9642857142857144
1.0,3.0,1.0,3.25,1.0,2.125,2.2857142857142856
1.0,3.0,1.0,1.0,4.857142857142858,2.125,1.9642857142857144
2.0,3.0,1.0,2.125,1.0,3.25,1.9642857142857144
1.0,2.0,1.0,2.125,1.0,2.125,2.2857142857142856
1.0,2.0,1.0,1.0,1.0,1.0,2.928571428571429
2.0,3.0,1.0,1.0,1.0,1.0,1.9642857142857144
2.0,3.0,1.0,2.125,1.6428571428571428,3.25,2.2857142857142856
1.0,4.0,1.0,1.0,1.0,1.0,2.2857142857142856
2.0,3.0,1.0,1.0,1.0,3.25,2.607142857142857
1.0,3.0,1.0,2.125,1.0,2.125,2.607142857142857
2.0,3.0,1.0,1.0,1.0,1.0,2.2857142857142856
1.0,5.0,1.0,1.0,4.857142857142858,2.125,1.3214285714285714
1.0,4.0,1.0,1.0,4.857142857142858,3.25,1.6428571428571428
1.0,4.0,1.0,1.0,2.928571428571429,2.125,1.6428571428571428
2.0,5.0,1.0,1.0,4.857142857142858,3.25,1.3214285714285714
1.0,2.0,1.0,1.0,4.857142857142858,3.25,1.0
1.0,4.0,1.0,1.0,2.928571428571429,2.125,1.6428571428571428
2.0,4.0,1.0,1.0,4.214285714285714,2.125,1.6428571428571428
2.0,5.0,1.0,1.0,4.214285714285714,2.125,1.6428571428571428
1.0,4.0,1.0,1.0,3.5714285714285716,2.125,1.6428571428571428
1.0,5.0,1.0,1.0,4.214285714285714,2.125,1.0
2.0,3.0,1.0,1.0,4.214285714285714,2.125,1.0
1.0,4.0,1.0,1.0,4.857142857142858,3.25,1.0
1.0,2.0,1.0,1.0,1.6428571428571428,1.0,1.6428571428571428
1.0,4.0,1.0,1.0,1.0,1.0,1.9642857142857144
1.0,3.0,1.0,1.0,1.0,2.125,2.607142857142857
1.0,3.0,1.0,1.0,2.2857142857142856,2.125,2.2857142857142856
1.0,4.0,1.0,1.0,1.0,1.0,1.6428571428571428
2.0,1.0,1.0,1.0,1.0,1.0,2.2857142857142856
2.0,4.0,1.0,1.0,1.0,2.125,1.9642857142857144
2.0,1.0,1.0,1.0,1.6428571428571428,2.125,3.25
1.0,2.0,1.0,2.125,1.0,2.125,2.2857142857142856
2.0,3.0,1.0,1.0,1.6428571428571428,1.0,1.6428571428571428
2.0,2.0,1.0,3.25,2.928571428571429,2.125,2.928571428571429
2.0,3.0,1.0,1.0,1.0,1.0,1.0
2.0,2.0,2.0,1.0,2.2857142857142856,3.25,1.9642857142857144
2.0,1.0,2.0,10.0,2.2857142857142856,2.125,2.607142857142857
1.0,3.0,2.0,1.0,3.5714285714285716,1.0,2.928571428571429
2.0,1.0,2.0,3.25,4.857142857142858,1.0,3.25
1.0,1.0,2.0,2.125,1.6428571428571428,1.0,1.9642857142857144
2.0,1.0,2.0,1.0,3.5714285714285716,1.0,1.9642857142857144
1.0,2.0,2.0,1.0,3.5714285714285716,2.125,2.607142857142857
1.0,3.0,2.0,1.0,1.0,1.0,1.3214285714285714
2.0,2.0,2.0,1.0,2.928571428571429,1.0,1.6428571428571428
1.0,3.0,2.0,3.25,2.2857142857142856,10.0,2.2857142857142856
1.0,3.0,2.0,3.25,2.928571428571429,10.0,2.2857142857142856
1.0,4.0,2.0,2.125,3.5714285714285716,1.0,3.892857142857143
