sexo,escol,Tam_loc,agg_economic_wellbeing_perception,agg_job_search_and_employment_precarity,agg_labor_union_attitudes
2.0,3.0,1.0,2.5882352941176467,,5.8
1.0,4.0,2.0,6.2941176470588225,,5.8
1.0,3.0,2.0,2.5882352941176467,,5.2
1.0,2.0,3.0,3.6470588235294112,,5.8
1.0,3.0,3.0,7.352941176470588,,6.4
1.0,3.0,3.0,2.5882352941176467,,6.4
1.0,3.0,1.0,3.6470588235294112,,5.2
1.0,4.0,2.0,4.705882352941176,,7.6
1.0,4.0,3.0,2.5882352941176467,,5.2
1.0,3.0,1.0,5.235294117647059,,6.4
2.0,2.0,3.0,2.0588235294117645,,5.8
1.0,5.0,1.0,2.5882352941176467,,6.4
1.0,4.0,1.0,2.0588235294117645,,5.2
1.0,5.0,1.0,2.0588235294117645,,4.6
1.0,2.0,1.0,5.235294117647059,,5.8
1.0,3.0,1.0,1.0,,7.0
1.0,4.0,1.0,2.0588235294117645,,5.8
1.0,3.0,4.0,2.5882352941176467,,5.8
2.0,5.0,1.0,4.1764705882352935,,5.8
1.0,4.0,2.0,2.0588235294117645,,6.4
2.0,4.0,1.0,2.5882352941176467,,5.8
2.0,4.0,1.0,2.5882352941176467,,5.8
2.0,4.0,1.0,2.5882352941176467,,5.8
1.0,3.0,3.0,4.705882352941176,,5.8
1.0,3.0,1.0,4.1764705882352935,,5.2
1.0,3.0,1.0,4.1764705882352935,,5.2
2.0,3.0,4.0,3.1176470588235294,,5.2
1.0,4.0,1.0,4.1764705882352935,,5.8
2.0,3.0,1.0,1.5294117647058822,,5.2
1.0,5.0,3.0,3.1176470588235294,,5.8
1.0,5.0,1.0,2.5882352941176467,,5.8
1.0,3.0,3.0,7.352941176470588,,5.2
2.0,4.0,1.0,3.1176470588235294,,7.0
1.0,4.0,1.0,3.1176470588235294,,5.2
1.0,4.0,1.0,3.1176470588235294,,5.2
1.0,3.0,4.0,4.705882352941176,,7.0
1.0,3.0,3.0,3.1176470588235294,,5.2
2.0,3.0,2.0,4.705882352941176,,5.8
2.0,4.0,1.0,4.1764705882352935,,4.6
1.0,4.0,1.0,4.1764705882352935,,5.8
1.0,4.0,1.0,2.0588235294117645,,7.0
1.0,3.0,1.0,4.1764705882352935,,5.2
1.0,3.0,1.0,2.5882352941176467,,5.8
2.0,3.0,1.0,4.1764705882352935,,7.0
2.0,4.0,3.0,2.5882352941176467,,7.0
2.0,4.0,2.0,5.235294117647059,,5.8
1.0,3.0,1.0,3.1176470588235294,,5.2
1.0,3.0,3.0,4.705882352941176,,4.6
2.0,5.0,1.0,4.1764705882352935,,4.6
1.0,3.0,1.0,4.1764705882352935,,5.8
1.0,4.0,2.0,4.1764705882352935,,5.2
1.0,3.0,1.0,3.1176470588235294,,5.2
1.0,3.0,1.0,4.705882352941176,,6.4
1.0,3.0,3.0,2.5882352941176467,,5.2
1.0,3.0,1.0,4.705882352941176,,5.2
1.0,1.0,1.0,3.1176470588235294,,5.2
1.0,3.0,1.0,3.6470588235294112,,4.6
1.0,2.0,4.0,3.1176470588235294,,6.4
1.0,5.0,3.0,3.1176470588235294,,6.4
1.0,3.0,4.0,4.705882352941176,,5.8
1.0,4.0,3.0,4.1764705882352935,,6.4
1.0,5.0,1.0,5.235294117647059,,5.2
1.0,3.0,1.0,4.1764705882352935,,7.0
1.0,1.0,4.0,3.1176470588235294,,5.8
1.0,1.0,3.0,4.1764705882352935,,6.4
2.0,2.0,1.0,5.235294117647059,,5.2
1.0,3.0,1.0,4.1764705882352935,,5.8
1.0,5.0,1.0,2.5882352941176467,,7.6
1.0,3.0,1.0,2.5882352941176467,,5.2
1.0,4.0,1.0,3.6470588235294112,,5.2
1.0,4.0,1.0,3.1176470588235294,,7.0
2.0,3.0,1.0,3.1176470588235294,,6.4
1.0,4.0,1.0,2.0588235294117645,,7.0
1.0,3.0,1.0,2.5882352941176467,,5.8
2.0,4.0,1.0,3.1176470588235294,,5.8
2.0,3.0,2.0,5.235294117647059,,5.8
2.0,4.0,3.0,3.1176470588235294,,5.2
1.0,3.0,1.0,2.5882352941176467,,7.0
2.0,3.0,3.0,4.705882352941176,,7.6
1.0,4.0,2.0,3.1176470588235294,,5.2
1.0,2.0,1.0,2.0588235294117645,,7.0
1.0,3.0,1.0,3.6470588235294112,,5.2
2.0,3.0,1.0,2.5882352941176467,,7.0
1.0,1.0,1.0,2.5882352941176467,,5.8
1.0,4.0,1.0,3.6470588235294112,,5.2
1.0,4.0,1.0,2.5882352941176467,,5.8
1.0,3.0,4.0,3.6470588235294112,,1.6
1.0,3.0,1.0,2.5882352941176467,,7.0
1.0,3.0,1.0,2.5882352941176467,,7.0
2.0,3.0,1.0,2.5882352941176467,,5.2
2.0,4.0,3.0,2.5882352941176467,,4.6
1.0,3.0,1.0,5.235294117647059,,5.2
1.0,4.0,1.0,3.1176470588235294,,5.8
1.0,4.0,3.0,3.6470588235294112,,5.8
1.0,4.0,2.0,2.5882352941176467,,6.4
1.0,1.0,4.0,2.0588235294117645,,4.6
1.0,3.0,3.0,4.1764705882352935,,5.2
1.0,2.0,2.0,3.6470588235294112,,5.2
2.0,4.0,2.0,4.705882352941176,,4.6
1.0,3.0,1.0,3.1176470588235294,,5.2
1.0,4.0,1.0,3.6470588235294112,,5.8
1.0,3.0,2.0,2.5882352941176467,,6.4
