sexo,escol,Tam_loc,agg_judicial_institutional_trust,agg_law_compliance_motivation,agg_legal_cynicism_extrajudicial_justice,agg_police_trust_and_legitimacy
2.0,4.0,2.0,,1.0,2.125,8.875
2.0,4.0,2.0,2.6875,6.294117647058823,2.575,2.125
2.0,5.0,2.0,2.3125,5.235294117647059,2.125,2.125
1.0,2.0,2.0,3.25,5.235294117647059,2.575,2.125
1.0,2.0,2.0,,,2.125,3.25
1.0,2.0,2.0,3.4375,5.235294117647059,2.575,2.125
2.0,4.0,2.0,2.6875,6.294117647058823,2.575,2.125
1.0,2.0,2.0,3.4375,5.235294117647059,2.575,2.125
1.0,1.0,2.0,1.75,,2.125,4.375
2.0,3.0,2.0,,5.764705882352941,2.575,2.125
2.0,3.0,2.0,2.5,5.764705882352941,2.125,2.125
1.0,4.0,2.0,,5.235294117647059,2.8,2.125
2.0,2.0,2.0,2.125,6.823529411764706,2.575,3.25
1.0,3.0,2.0,3.8125,4.705882352941177,3.25,2.125
2.0,3.0,2.0,,5.764705882352941,3.6999999999999997,1.0
2.0,3.0,2.0,4.1875,5.235294117647059,4.6,2.125
2.0,1.0,2.0,2.125,1.5294117647058822,1.675,3.25
2.0,2.0,2.0,,5.235294117647059,3.25,2.125
1.0,5.0,2.0,3.4375,6.294117647058823,1.9,2.125
1.0,3.0,2.0,3.0625,5.235294117647059,4.6,2.125
1.0,2.0,2.0,1.9375,1.0,1.45,3.25
2.0,4.0,1.0,2.5,4.705882352941177,2.35,2.125
1.0,2.0,1.0,2.125,5.764705882352941,2.125,2.125
1.0,2.0,1.0,2.5,6.823529411764706,2.35,2.125
2.0,4.0,1.0,2.125,5.235294117647059,3.6999999999999997,2.125
1.0,3.0,1.0,,7.352941176470588,3.025,2.125
1.0,4.0,1.0,1.9375,6.823529411764706,3.025,2.125
1.0,3.0,1.0,2.6875,6.823529411764706,3.025,2.125
2.0,3.0,1.0,2.125,5.235294117647059,2.35,2.125
2.0,3.0,1.0,2.3125,5.764705882352941,2.125,2.125
2.0,3.0,1.0,2.875,5.235294117647059,1.675,2.125
1.0,3.0,1.0,,7.352941176470588,2.125,3.25
2.0,4.0,1.0,,5.235294117647059,1.675,2.125
1.0,3.0,1.0,,5.764705882352941,3.025,2.125
2.0,4.0,1.0,1.5625,6.294117647058823,3.25,1.0
1.0,4.0,1.0,,5.764705882352941,3.025,1.0
2.0,3.0,1.0,,5.764705882352941,3.6999999999999997,1.0
2.0,3.0,1.0,2.125,7.882352941176471,2.35,2.125
