sexo,escol,Tam_loc,agg_attitudes_toward_cultural_openness_and_foreign_influence,agg_cultural_identity_and_heritage,agg_cultural_socialization_in_childhood,agg_reading_engagement_and_literacy
2.0,1.0,2.0,4.477272727272727,1.3829787234042552,1.0,3.999999999999999
2.0,1.0,4.0,2.0227272727272725,1.3829787234042552,1.0,1.0
1.0,4.0,3.0,1.8181818181818183,1.1914893617021276,2.384615384615385,10.0
1.0,1.0,2.0,3.045454545454545,1.1914893617021276,1.0,1.0
2.0,1.0,2.0,2.4318181818181817,1.1914893617021276,2.384615384615385,1.0
1.0,1.0,1.0,1.409090909090909,1.0,3.76923076923077,3.999999999999999
1.0,1.0,1.0,2.4318181818181817,1.3829787234042552,1.0,3.999999999999999
1.0,2.0,1.0,1.409090909090909,6.936170212765957,1.692307692307692,10.0
1.0,3.0,4.0,2.4318181818181817,1.574468085106383,4.461538461538462,10.0
2.0,1.0,2.0,1.8181818181818183,1.0,1.692307692307692,1.0
1.0,4.0,1.0,2.6363636363636367,1.574468085106383,3.076923076923077,1.0
2.0,4.0,1.0,1.8181818181818183,1.3829787234042552,3.76923076923077,1.0
2.0,3.0,1.0,2.4318181818181817,1.3829787234042552,2.384615384615385,3.999999999999999
1.0,3.0,1.0,3.25,2.5319148936170213,3.76923076923077,10.0
2.0,1.0,4.0,4.681818181818182,1.1914893617021276,3.76923076923077,1.0
1.0,2.0,1.0,2.0227272727272725,1.1914893617021276,3.076923076923077,1.0
2.0,3.0,4.0,2.0227272727272725,1.1914893617021276,3.76923076923077,1.0
1.0,4.0,1.0,2.6363636363636367,1.574468085106383,5.153846153846154,3.999999999999999
2.0,1.0,2.0,3.25,1.3829787234042552,3.076923076923077,1.0
2.0,3.0,2.0,2.6363636363636367,1.3829787234042552,4.461538461538462,1.0
2.0,5.0,1.0,3.454545454545454,1.3829787234042552,,1.0
1.0,4.0,1.0,2.6363636363636367,1.574468085106383,3.76923076923077,10.0
2.0,1.0,4.0,5.704545454545454,1.1914893617021276,1.692307692307692,1.0
2.0,5.0,1.0,2.4318181818181817,1.7659574468085104,5.846153846153847,7.000000000000001
1.0,5.0,3.0,2.4318181818181817,2.5319148936170213,4.461538461538462,10.0
1.0,5.0,3.0,2.227272727272727,1.3829787234042552,5.153846153846154,10.0
1.0,4.0,1.0,2.6363636363636367,1.3829787234042552,1.692307692307692,7.000000000000001
2.0,4.0,2.0,1.6136363636363635,1.0,1.692307692307692,1.0
2.0,4.0,4.0,2.227272727272727,2.914893617021277,5.846153846153847,7.000000000000001
1.0,3.0,1.0,2.0227272727272725,2.914893617021277,3.76923076923077,10.0
1.0,1.0,2.0,1.8181818181818183,1.1914893617021276,5.846153846153847,1.0
2.0,1.0,2.0,3.045454545454545,1.0,3.076923076923077,1.0
2.0,4.0,1.0,2.0227272727272725,1.3829787234042552,2.384615384615385,1.0
2.0,1.0,2.0,2.227272727272727,2.723404255319149,1.692307692307692,3.999999999999999
1.0,1.0,2.0,2.6363636363636367,1.3829787234042552,1.0,1.0
2.0,3.0,2.0,2.0227272727272725,2.723404255319149,3.76923076923077,3.999999999999999
2.0,3.0,3.0,3.25,1.574468085106383,4.461538461538462,10.0
2.0,1.0,2.0,1.8181818181818183,1.7659574468085104,1.0,1.0
2.0,2.0,1.0,3.6590909090909087,3.1063829787234045,2.384615384615385,1.0
2.0,1.0,1.0,2.4318181818181817,1.9574468085106382,1.0,1.0
2.0,3.0,3.0,1.409090909090909,1.7659574468085104,2.384615384615385,1.0
2.0,3.0,1.0,2.840909090909091,1.7659574468085104,3.76923076923077,3.999999999999999
2.0,4.0,2.0,2.0227272727272725,1.7659574468085104,1.0,1.0
2.0,2.0,1.0,2.0227272727272725,1.7659574468085104,2.384615384615385,3.999999999999999
2.0,2.0,1.0,2.6363636363636367,1.7659574468085104,4.461538461538462,7.000000000000001
1.0,4.0,1.0,2.6363636363636367,1.7659574468085104,5.153846153846154,10.0
1.0,3.0,1.0,2.227272727272727,3.1063829787234045,3.076923076923077,1.0
2.0,4.0,3.0,2.4318181818181817,1.7659574468085104,3.076923076923077,7.000000000000001
2.0,4.0,3.0,2.6363636363636367,1.7659574468085104,3.076923076923077,7.000000000000001
2.0,4.0,3.0,2.6363636363636367,1.7659574468085104,3.076923076923077,7.000000000000001
2.0,4.0,3.0,2.6363636363636367,1.7659574468085104,3.076923076923077,7.000000000000001
1.0,3.0,3.0,2.6363636363636367,1.7659574468085104,3.076923076923077,7.000000000000001
2.0,3.0,1.0,2.4318181818181817,1.7659574468085104,4.461538461538462,7.000000000000001
2.0,3.0,1.0,2.4318181818181817,3.1063829787234045,7.230769230769231,1.0
2.0,3.0,1.0,1.8181818181818183,2.1489361702127656,6.538461538461539,10.0
2.0,3.0,4.0,2.6363636363636367,1.9574468085106382,2.384615384615385,7.000000000000001
2.0,3.0,4.0,2.4318181818181817,1.9574468085106382,3.76923076923077,7.000000000000001
1.0,3.0,1.0,1.8181818181818183,2.914893617021277,3.76923076923077,7.000000000000001
2.0,4.0,3.0,1.6136363636363635,4.063829787234043,4.461538461538462,3.999999999999999
1.0,4.0,1.0,2.0227272727272725,2.914893617021277,4.461538461538462,3.999999999999999
2.0,5.0,1.0,2.0227272727272725,1.7659574468085104,3.76923076923077,7.000000000000001
2.0,5.0,1.0,2.6363636363636367,2.1489361702127656,2.384615384615385,1.0
1.0,3.0,3.0,2.0227272727272725,1.7659574468085104,4.461538461538462,3.999999999999999
1.0,4.0,1.0,2.4318181818181817,1.7659574468085104,4.461538461538462,1.0
1.0,4.0,3.0,3.8636363636363633,1.7659574468085104,5.846153846153847,1.0
2.0,5.0,1.0,2.227272727272727,2.914893617021277,5.153846153846154,10.0
1.0,4.0,1.0,2.840909090909091,1.574468085106383,4.461538461538462,7.000000000000001
2.0,1.0,3.0,1.8181818181818183,1.7659574468085104,3.076923076923077,7.000000000000001
2.0,1.0,2.0,5.909090909090908,1.9574468085106382,3.076923076923077,1.0
2.0,1.0,3.0,1.6136363636363635,1.9574468085106382,3.076923076923077,1.0
1.0,3.0,1.0,2.0227272727272725,1.7659574468085104,1.0,1.0
2.0,3.0,4.0,2.4318181818181817,1.9574468085106382,1.692307692307692,1.0
2.0,1.0,4.0,2.227272727272727,1.7659574468085104,3.76923076923077,1.0
2.0,3.0,2.0,5.909090909090908,1.9574468085106382,1.0,3.999999999999999
2.0,1.0,3.0,3.045454545454545,1.9574468085106382,1.692307692307692,1.0
1.0,1.0,3.0,1.6136363636363635,3.1063829787234045,1.0,1.0
2.0,2.0,1.0,4.477272727272727,1.7659574468085104,1.692307692307692,1.0
2.0,1.0,3.0,2.6363636363636367,2.1489361702127656,1.692307692307692,3.999999999999999
2.0,2.0,2.0,1.6136363636363635,1.9574468085106382,3.076923076923077,1.0
1.0,1.0,2.0,4.681818181818182,1.7659574468085104,1.0,3.999999999999999
2.0,2.0,3.0,2.0227272727272725,1.9574468085106382,1.0,1.0
2.0,2.0,2.0,5.704545454545454,1.9574468085106382,1.692307692307692,1.0
2.0,1.0,3.0,7.340909090909091,1.7659574468085104,1.692307692307692,1.0
2.0,1.0,2.0,4.681818181818182,1.7659574468085104,1.0,1.0
2.0,1.0,4.0,2.4318181818181817,1.574468085106383,1.692307692307692,1.0
2.0,1.0,3.0,4.477272727272727,1.7659574468085104,1.692307692307692,1.0
2.0,3.0,2.0,2.0227272727272725,3.1063829787234045,3.076923076923077,1.0
1.0,2.0,1.0,2.227272727272727,1.9574468085106382,3.076923076923077,1.0
2.0,2.0,2.0,6.931818181818182,1.3829787234042552,1.0,3.999999999999999
2.0,3.0,2.0,2.4318181818181817,1.9574468085106382,3.076923076923077,1.0
2.0,1.0,3.0,4.681818181818182,1.9574468085106382,2.384615384615385,1.0
1.0,1.0,3.0,2.4318181818181817,1.9574468085106382,2.384615384615385,3.999999999999999
2.0,3.0,3.0,2.4318181818181817,1.9574468085106382,3.076923076923077,1.0
2.0,1.0,4.0,2.0227272727272725,1.7659574468085104,3.76923076923077,7.000000000000001
2.0,3.0,3.0,2.6363636363636367,1.9574468085106382,1.0,3.999999999999999
2.0,2.0,2.0,3.454545454545454,1.9574468085106382,3.76923076923077,7.000000000000001
2.0,2.0,4.0,2.0227272727272725,2.914893617021277,4.461538461538462,10.0
2.0,4.0,1.0,2.4318181818181817,2.1489361702127656,3.076923076923077,7.000000000000001
1.0,4.0,3.0,2.0227272727272725,1.574468085106383,3.76923076923077,10.0
2.0,1.0,3.0,2.0227272727272725,1.9574468085106382,2.384615384615385,1.0
