sexo,escol,Tam_loc,agg_climate_change_risk_perception,agg_environmental_knowledge_self_efficacy,agg_environmental_problem_salience,agg_pro_environmental_civic_engagement
2.0,3.0,3.0,3.25,,,8.875
2.0,3.0,1.0,2.125,,3.25,9.4375
1.0,2.0,1.0,2.125,7.8275862068965525,2.6875,9.4375
1.0,2.0,1.0,1.0,,,8.875
2.0,3.0,3.0,2.125,3.4827586206896552,6.0625,8.875
2.0,5.0,3.0,1.0,6.586206896551724,2.6875,8.875
2.0,3.0,4.0,1.0,6.275862068965518,2.6875,8.875
1.0,3.0,4.0,3.25,4.413793103448276,2.6875,8.875
2.0,9.0,1.0,2.125,,2.125,8.875
1.0,1.0,4.0,8.875,,5.5,8.875
2.0,3.0,2.0,2.125,1.0,3.8125,8.875
2.0,4.0,3.0,2.125,3.4827586206896552,3.8125,8.875
1.0,3.0,3.0,2.125,6.275862068965518,3.25,9.15625
2.0,2.0,4.0,8.875,,6.625,8.875
1.0,4.0,4.0,1.0,8.448275862068966,1.0,10.0
1.0,3.0,4.0,1.0,2.5517241379310347,3.25,8.875
2.0,4.0,4.0,1.0,9.689655172413794,1.0,9.4375
1.0,4.0,2.0,3.25,1.0,3.25,8.875
1.0,3.0,4.0,2.125,3.793103448275862,7.1875,8.875
1.0,2.0,4.0,2.125,7.8275862068965525,3.25,9.4375
2.0,3.0,4.0,2.125,,6.625,8.875
2.0,4.0,4.0,3.25,,2.6875,4.09375
2.0,3.0,4.0,1.0,,6.625,8.875
1.0,1.0,2.0,2.125,6.8965517241379315,3.25,8.875
2.0,4.0,1.0,1.0,5.655172413793104,1.5625,8.875
1.0,5.0,1.0,1.0,6.8965517241379315,2.6875,8.875
1.0,2.0,1.0,1.0,5.0344827586206895,2.6875,8.875
2.0,4.0,1.0,1.0,5.9655172413793105,1.5625,8.875
2.0,3.0,2.0,1.0,,7.1875,8.875
2.0,1.0,2.0,1.0,3.793103448275862,4.9375,8.875
1.0,3.0,2.0,1.0,5.344827586206897,2.6875,9.15625
1.0,3.0,1.0,1.0,6.586206896551724,4.9375,9.15625
2.0,2.0,3.0,2.125,5.344827586206897,6.0625,5.21875
2.0,2.0,3.0,1.0,3.793103448275862,2.125,8.875
1.0,3.0,4.0,1.0,6.586206896551724,3.25,8.875
2.0,1.0,3.0,8.875,1.0,4.9375,8.875
2.0,3.0,3.0,2.125,4.724137931034483,2.6875,8.875
2.0,2.0,3.0,1.0,7.206896551724138,6.0625,8.875
2.0,3.0,3.0,1.0,2.2413793103448274,6.0625,8.875
1.0,3.0,4.0,1.0,6.586206896551724,3.8125,8.875
2.0,2.0,3.0,2.125,3.4827586206896552,4.9375,8.875
2.0,3.0,4.0,1.0,7.8275862068965525,2.125,8.875
2.0,2.0,4.0,1.0,4.724137931034483,1.5625,8.875
1.0,3.0,2.0,1.0,4.724137931034483,2.6875,8.875
