sexo,escol,Tam_loc,agg_economic_globalization_attitudes,agg_international_institutional_engagement,agg_transnational_exposure
2.0,4.0,1.0,1.6428571428571428,1.4864864864864864,2.125
1.0,3.0,2.0,1.0,1.4864864864864864,2.125
2.0,4.0,2.0,1.6428571428571428,1.4864864864864864,2.125
1.0,4.0,1.0,1.6428571428571428,1.0,2.125
2.0,1.0,2.0,1.9642857142857144,1.4864864864864864,2.125
1.0,3.0,3.0,3.25,4.405405405405405,2.125
1.0,4.0,2.0,1.0,1.4864864864864864,2.125
1.0,3.0,1.0,,1.4864864864864864,2.125
2.0,4.0,1.0,3.25,3.4324324324324325,2.125
2.0,4.0,3.0,1.0,1.4864864864864864,2.125
2.0,3.0,1.0,1.3214285714285714,1.4864864864864864,2.125
2.0,3.0,1.0,2.2857142857142856,1.4864864864864864,2.125
2.0,3.0,1.0,1.9642857142857144,1.4864864864864864,2.125
2.0,2.0,1.0,3.892857142857143,3.189189189189189,2.125
2.0,4.0,1.0,1.9642857142857144,1.4864864864864864,2.125
2.0,3.0,3.0,1.9642857142857144,1.4864864864864864,2.125
2.0,4.0,2.0,1.3214285714285714,1.4864864864864864,2.125
1.0,1.0,1.0,1.0,1.4864864864864864,2.125
2.0,4.0,2.0,1.3214285714285714,1.4864864864864864,2.125
2.0,4.0,1.0,7.75,1.4864864864864864,2.125
2.0,3.0,1.0,10.0,2.7027027027027026,2.125
2.0,3.0,2.0,3.892857142857143,1.7297297297297298,2.125
2.0,3.0,1.0,4.214285714285714,2.2162162162162162,2.125
1.0,3.0,3.0,2.2857142857142856,3.189189189189189,2.125
1.0,2.0,4.0,4.214285714285714,1.4864864864864864,2.125
2.0,3.0,1.0,4.214285714285714,1.4864864864864864,2.125
2.0,1.0,1.0,7.75,4.405405405405405,2.125
1.0,5.0,1.0,7.75,1.4864864864864864,2.125
2.0,3.0,1.0,1.3214285714285714,4.891891891891891,2.125
2.0,4.0,1.0,1.3214285714285714,2.7027027027027026,2.125
1.0,1.0,4.0,,1.9729729729729728,2.125
2.0,3.0,4.0,4.214285714285714,3.189189189189189,2.125
2.0,3.0,4.0,10.0,6.108108108108109,2.125
1.0,3.0,4.0,1.3214285714285714,2.7027027027027026,2.125
2.0,3.0,2.0,1.6428571428571428,1.4864864864864864,2.125
2.0,3.0,1.0,1.3214285714285714,1.7297297297297298,2.125
2.0,2.0,1.0,10.0,3.189189189189189,2.125
2.0,1.0,4.0,3.5714285714285716,1.0,2.125
2.0,5.0,1.0,1.3214285714285714,1.2432432432432432,2.125
1.0,3.0,1.0,7.75,1.4864864864864864,2.125
2.0,3.0,1.0,1.6428571428571428,1.2432432432432432,2.125
2.0,3.0,1.0,1.3214285714285714,1.4864864864864864,2.125
1.0,4.0,4.0,,1.4864864864864864,2.125
1.0,2.0,3.0,1.3214285714285714,1.4864864864864864,2.125
1.0,2.0,1.0,1.9642857142857144,1.4864864864864864,2.125
2.0,1.0,3.0,4.214285714285714,6.351351351351351,2.125
2.0,1.0,1.0,7.75,4.648648648648649,2.125
2.0,1.0,1.0,7.75,1.7297297297297298,2.125
