sexo,escol,Tam_loc,agg_basic_services_access,agg_household_asset_endowment,agg_housing_tenure_security,agg_structural_housing_quality
1.0,3.0,1.0,4.375,7.000000000000001,8.363636363636363,9.4375
2.0,5.0,1.0,1.0,8.5,9.345454545454546,8.3125
1.0,4.0,1.0,2.125,6.249999999999999,6.236363636363636,8.875
1.0,5.0,1.0,2.125,10.0,7.545454545454546,10.0
1.0,2.0,1.0,2.125,3.999999999999999,6.236363636363636,8.875
1.0,4.0,1.0,2.125,6.249999999999999,6.7272727272727275,8.3125
1.0,2.0,1.0,1.0,7.75,4.272727272727273,9.4375
2.0,5.0,1.0,2.125,7.000000000000001,6.236363636363636,8.875
2.0,3.0,1.0,2.125,5.5,6.236363636363636,8.875
1.0,2.0,3.0,1.0,4.750000000000001,5.909090909090909,8.3125
1.0,5.0,1.0,1.0,9.25,5.909090909090909,9.4375
1.0,4.0,1.0,1.0,7.75,4.272727272727273,9.4375
1.0,5.0,1.0,1.0,9.25,4.272727272727273,9.4375
2.0,4.0,1.0,2.125,8.5,4.927272727272727,8.3125
2.0,4.0,3.0,2.125,5.5,6.072727272727273,8.875
2.0,4.0,1.0,2.125,4.750000000000001,9.018181818181818,8.875
1.0,4.0,4.0,3.25,5.5,7.545454545454546,8.3125
1.0,1.0,3.0,5.5,4.750000000000001,5.909090909090909,6.0625
1.0,4.0,1.0,2.125,7.75,4.927272727272727,8.875
2.0,3.0,1.0,2.125,7.75,4.927272727272727,8.875
1.0,2.0,2.0,,5.5,4.272727272727273,6.0625
1.0,5.0,1.0,1.0,8.5,5.745454545454545,8.875
1.0,2.0,4.0,1.0,3.999999999999999,5.909090909090909,8.3125
1.0,3.0,1.0,1.0,6.249999999999999,4.272727272727273,8.3125
1.0,5.0,1.0,1.0,8.5,5.909090909090909,7.75
1.0,1.0,4.0,2.125,3.999999999999999,5.909090909090909,7.75
1.0,1.0,1.0,3.25,5.5,5.909090909090909,7.75
1.0,3.0,3.0,,4.750000000000001,5.909090909090909,6.0625
1.0,1.0,4.0,6.625,4.750000000000001,5.090909090909091,6.0625
1.0,4.0,1.0,1.0,7.75,9.345454545454546,8.875
1.0,5.0,1.0,1.0,7.75,4.927272727272727,9.4375
1.0,4.0,1.0,1.0,5.5,8.2,9.4375
1.0,3.0,4.0,3.25,3.999999999999999,5.909090909090909,8.3125
1.0,4.0,1.0,,7.75,8.363636363636363,8.875
1.0,5.0,1.0,1.0,9.25,5.090909090909091,8.3125
2.0,5.0,1.0,2.125,7.75,6.7272727272727275,8.875
2.0,4.0,1.0,2.125,7.75,9.50909090909091,10.0
2.0,4.0,1.0,1.0,7.75,4.272727272727273,8.875
1.0,5.0,1.0,1.0,10.0,7.545454545454546,9.4375
1.0,5.0,1.0,1.0,9.25,4.272727272727273,8.875
2.0,5.0,1.0,1.0,7.75,5.745454545454545,8.875
1.0,4.0,1.0,2.125,7.75,4.927272727272727,10.0
1.0,4.0,1.0,1.0,7.000000000000001,5.909090909090909,8.875
2.0,5.0,1.0,2.125,8.5,6.7272727272727275,8.875
1.0,2.0,1.0,3.25,5.5,5.909090909090909,8.3125
1.0,3.0,3.0,1.0,4.750000000000001,8.363636363636363,6.0625
1.0,3.0,3.0,1.0,5.5,6.236363636363636,8.3125
1.0,3.0,1.0,2.125,8.5,6.5636363636363635,8.875
2.0,5.0,1.0,,7.75,5.909090909090909,8.3125
2.0,4.0,1.0,2.125,7.75,5.745454545454545,10.0
1.0,4.0,1.0,4.375,5.5,4.272727272727273,
1.0,5.0,1.0,1.0,8.5,4.272727272727273,9.4375
1.0,5.0,1.0,1.0,10.0,5.909090909090909,7.75
1.0,4.0,2.0,2.125,7.75,6.072727272727273,8.875
1.0,3.0,4.0,2.125,4.750000000000001,5.909090909090909,8.3125
2.0,5.0,1.0,2.125,7.75,4.272727272727273,9.4375
1.0,3.0,4.0,7.75,5.5,6.5636363636363635,7.75
1.0,1.0,3.0,3.25,3.999999999999999,6.236363636363636,6.0625
1.0,2.0,3.0,5.5,5.5,5.909090909090909,8.875
2.0,3.0,1.0,1.0,8.5,4.927272727272727,8.875
1.0,4.0,1.0,3.25,8.5,4.272727272727273,8.3125
1.0,3.0,3.0,2.125,6.249999999999999,5.909090909090909,4.9375
1.0,3.0,1.0,1.0,8.5,4.927272727272727,9.4375
2.0,3.0,4.0,,5.5,5.909090909090909,8.875
1.0,3.0,1.0,1.0,5.5,4.927272727272727,8.875
2.0,3.0,1.0,3.25,7.000000000000001,6.072727272727273,8.875
1.0,4.0,1.0,1.0,7.75,10.0,8.875
1.0,4.0,1.0,2.125,8.5,4.272727272727273,9.4375
2.0,4.0,1.0,1.0,9.25,4.272727272727273,8.875
1.0,3.0,3.0,2.125,6.249999999999999,5.909090909090909,8.875
1.0,1.0,1.0,1.0,3.999999999999999,9.672727272727272,8.3125
1.0,1.0,1.0,5.5,3.999999999999999,6.236363636363636,7.75
1.0,3.0,1.0,2.125,6.249999999999999,10.0,8.3125
1.0,1.0,4.0,,2.500000000000001,5.418181818181818,5.499999999999999
2.0,5.0,1.0,1.0,5.5,4.272727272727273,6.0625
1.0,5.0,1.0,1.0,7.75,4.272727272727273,8.875
2.0,1.0,4.0,,1.7499999999999993,6.7272727272727275,7.75
1.0,2.0,1.0,2.125,4.750000000000001,6.236363636363636,8.3125
1.0,4.0,1.0,1.0,8.5,5.909090909090909,9.4375
2.0,4.0,1.0,1.0,7.75,8.363636363636363,9.4375
1.0,5.0,1.0,1.0,9.25,4.272727272727273,8.875
1.0,4.0,1.0,1.0,9.25,9.181818181818182,9.4375
1.0,3.0,3.0,1.0,5.5,6.5636363636363635,8.3125
1.0,3.0,1.0,1.0,9.25,4.272727272727273,9.4375
2.0,4.0,1.0,1.0,7.75,6.7272727272727275,8.875
