sexo,escol,Tam_loc,agg_household_science_cultural_capital,agg_institutional_trust_in_science,agg_perceived_societal_value_of_science_technology,agg_science_technology_interest_engagement,agg_science_technology_self_efficacy
1.0,2.0,1.0,9.142857142857144,6.4,3.812499999999999,9.325000000000001,4.6
2.0,3.0,1.0,9.357142857142856,7.6,2.6875,9.1,4.6
2.0,4.0,1.0,9.785714285714286,6.4,4.09375,8.875,6.760000000000002
1.0,1.0,1.0,9.785714285714286,7.6,3.5312499999999996,9.1,6.760000000000002
2.0,3.0,4.0,8.92857142857143,6.7,6.343749999999999,7.9750000000000005,6.4
2.0,2.0,1.0,9.571428571428571,6.7,4.65625,9.549999999999999,6.760000000000002
1.0,4.0,1.0,9.571428571428571,7.9,2.40625,9.549999999999999,6.040000000000001
2.0,4.0,1.0,8.92857142857143,7.9,4.09375,8.649999999999999,7.120000000000001
1.0,3.0,1.0,9.357142857142856,7.3,3.5312499999999996,8.649999999999999,6.040000000000001
2.0,3.0,1.0,9.571428571428571,6.4,2.6875,8.649999999999999,5.319999999999999
2.0,4.0,1.0,9.357142857142856,6.4,2.96875,8.875,4.960000000000001
2.0,2.0,1.0,9.142857142857144,5.8,2.96875,8.425,3.8800000000000003
2.0,2.0,1.0,9.571428571428571,6.4,2.96875,8.649999999999999,6.040000000000001
2.0,3.0,1.0,7.857142857142857,6.4,3.2499999999999996,8.875,5.319999999999999
1.0,4.0,1.0,9.571428571428571,7.9,3.812499999999999,8.425,4.24
1.0,4.0,1.0,9.357142857142856,7.9,3.2499999999999996,9.1,4.24
2.0,4.0,1.0,9.357142857142856,8.2,3.812499999999999,8.425,5.6800000000000015
2.0,3.0,1.0,9.357142857142856,7.6,2.96875,9.1,7.480000000000001
2.0,2.0,1.0,9.357142857142856,7.9,2.6875,9.1,7.120000000000001
1.0,4.0,1.0,8.92857142857143,7.6,3.2499999999999996,9.325000000000001,6.760000000000002
2.0,2.0,1.0,9.571428571428571,7.9,2.6875,8.649999999999999,7.120000000000001
1.0,3.0,1.0,9.357142857142856,7.9,3.2499999999999996,8.649999999999999,5.6800000000000015
