sexo,escol,Tam_loc,agg_digital_and_cultural_capital,agg_educational_returns_belief,agg_perceived_education_quality,agg_school_environment_quality
2.0,3.0,4.0,7.1875,9.625,2.125,2.125
2.0,3.0,4.0,7.1875,9.625,2.125,2.125
2.0,2.0,4.0,7.1875,9.25,1.5625,1.0
1.0,4.0,4.0,9.15625,10.0,2.125,3.25
1.0,4.0,4.0,8.875,9.625,1.5625,1.0
1.0,2.0,4.0,7.1875,8.125,2.6875,4.375
1.0,4.0,4.0,8.59375,10.0,1.0,
1.0,3.0,4.0,9.718750000000002,10.0,1.5625,
1.0,3.0,4.0,7.75,10.0,2.125,3.25
2.0,3.0,4.0,9.15625,10.0,2.125,
2.0,3.0,1.0,8.03125,10.0,1.5625,3.25
2.0,4.0,1.0,9.15625,10.0,2.125,3.25
2.0,4.0,1.0,8.59375,10.0,2.125,3.25
1.0,4.0,1.0,9.4375,8.875,2.6875,5.5
2.0,3.0,1.0,9.15625,10.0,2.125,2.125
2.0,3.0,1.0,8.03125,7.0,1.5625,1.0
2.0,4.0,1.0,8.3125,9.25,2.6875,3.25
1.0,3.0,1.0,7.468749999999999,9.625,8.875,1.0
1.0,4.0,1.0,9.15625,7.375,2.6875,
2.0,1.0,1.0,6.906249999999999,10.0,1.0,8.875
2.0,4.0,1.0,8.03125,9.625,2.6875,2.125
1.0,3.0,1.0,8.59375,10.0,2.125,2.125
1.0,3.0,1.0,9.4375,10.0,2.125,
1.0,4.0,1.0,9.718750000000002,10.0,1.5625,2.125
2.0,4.0,1.0,9.15625,10.0,1.5625,
2.0,3.0,1.0,8.03125,10.0,2.125,2.125
2.0,3.0,1.0,7.75,10.0,2.125,3.25
2.0,3.0,1.0,7.1875,9.625,2.125,4.375
1.0,4.0,1.0,9.4375,10.0,2.6875,3.25
2.0,2.0,1.0,8.3125,8.5,6.0625,1.0
1.0,4.0,1.0,8.875,9.625,2.125,
2.0,4.0,1.0,9.718750000000002,10.0,2.125,1.0
1.0,4.0,1.0,10.0,7.375,1.5625,
2.0,3.0,1.0,7.1875,8.125,2.6875,4.375
1.0,2.0,1.0,7.75,10.0,2.125,8.875
2.0,4.0,1.0,8.875,10.0,1.5625,1.0
2.0,4.0,1.0,9.15625,10.0,2.125,
2.0,4.0,1.0,9.718750000000002,10.0,1.5625,
1.0,1.0,2.0,7.1875,9.25,1.5625,3.25
2.0,2.0,2.0,7.1875,9.625,1.0,1.0
2.0,3.0,2.0,7.75,10.0,1.5625,1.0
1.0,3.0,2.0,7.468749999999999,10.0,1.0,1.0
2.0,2.0,2.0,7.468749999999999,10.0,1.0,1.0
1.0,4.0,2.0,8.03125,10.0,1.5625,2.125
1.0,4.0,2.0,7.468749999999999,10.0,1.5625,2.125
2.0,2.0,2.0,7.75,9.625,2.125,2.125
1.0,1.0,2.0,8.59375,9.25,2.125,1.0
2.0,3.0,2.0,8.875,10.0,1.0,2.125
2.0,2.0,2.0,7.1875,10.0,1.0,1.0
1.0,3.0,2.0,9.15625,9.25,1.5625,1.0
1.0,3.0,2.0,9.15625,10.0,1.5625,3.25
2.0,2.0,2.0,8.59375,10.0,1.0,1.0
2.0,3.0,2.0,8.59375,10.0,1.0,1.0
