sexo,escol,Tam_loc,agg_crime_victimization_exposure,agg_fear_and_risk_avoidance,agg_perceived_security_trajectory,agg_police_institutional_legitimacy,agg_punitive_and_vigilante_attitudes
2.0,4.0,1.0,2.125,1.375,6.34375,2.1739130434782608,3.53125
1.0,1.0,1.0,2.125,2.5,6.625,2.1739130434782608,2.6875
2.0,4.0,1.0,2.125,1.375,7.75,1.782608695652174,4.09375
1.0,4.0,1.0,2.125,2.5,7.1875,1.391304347826087,2.6875
1.0,5.0,1.0,2.125,2.125,7.46875,1.782608695652174,2.96875
1.0,4.0,1.0,2.125,2.125,7.46875,2.1739130434782608,2.96875
2.0,2.0,1.0,2.125,2.125,7.46875,1.782608695652174,2.96875
2.0,4.0,1.0,1.0,2.5,7.75,2.1739130434782608,2.96875
2.0,4.0,1.0,2.125,1.75,7.75,,3.25
2.0,4.0,1.0,1.5625,1.375,6.625,,2.40625
1.0,3.0,1.0,2.125,2.125,6.625,8.043478260869566,4.65625
1.0,4.0,1.0,2.125,2.5,7.75,,4.65625
1.0,4.0,2.0,1.5625,1.75,6.625,4.521739130434783,3.53125
2.0,4.0,2.0,2.125,2.875,6.34375,2.1739130434782608,2.6875
1.0,3.0,2.0,2.125,1.375,8.3125,1.391304347826087,3.8125
2.0,1.0,2.0,2.125,3.25,7.46875,4.913043478260869,2.125
1.0,3.0,2.0,2.125,2.125,7.75,1.782608695652174,3.25
1.0,4.0,2.0,1.0,2.125,7.75,1.782608695652174,3.53125
2.0,4.0,2.0,2.125,2.5,7.75,1.782608695652174,3.25
2.0,3.0,2.0,2.125,2.5,7.75,1.782608695652174,3.53125
1.0,3.0,2.0,2.125,2.875,7.75,,3.25
2.0,4.0,2.0,2.125,1.75,7.75,,2.96875
1.0,2.0,2.0,1.0,1.375,7.75,,2.40625
2.0,3.0,2.0,2.125,2.125,7.46875,,2.40625
2.0,4.0,2.0,2.125,2.125,7.1875,2.565217391304348,3.25
1.0,3.0,2.0,1.5625,2.125,5.5,2.1739130434782608,2.6875
1.0,3.0,2.0,2.125,3.25,7.75,1.782608695652174,3.8125
2.0,3.0,2.0,2.125,1.75,7.1875,2.1739130434782608,3.53125
1.0,4.0,2.0,2.125,2.5,7.75,2.565217391304348,2.96875
1.0,4.0,2.0,2.125,2.875,7.75,2.565217391304348,2.40625
2.0,4.0,2.0,2.125,2.125,7.46875,2.1739130434782608,2.96875
2.0,4.0,2.0,2.125,2.5,7.75,2.1739130434782608,2.96875
1.0,5.0,2.0,2.125,2.125,7.75,,1.84375
1.0,5.0,2.0,2.125,1.375,7.75,,3.25
2.0,5.0,2.0,2.125,1.75,7.75,,1.84375
2.0,4.0,2.0,2.125,2.875,7.75,,1.5625
1.0,4.0,1.0,2.125,2.5,8.03125,1.782608695652174,3.53125
2.0,3.0,1.0,2.125,1.0,6.0625,2.1739130434782608,3.53125
1.0,4.0,1.0,2.125,2.5,6.625,2.1739130434782608,3.53125
2.0,3.0,1.0,2.125,2.125,6.625,7.6521739130434785,3.53125
1.0,4.0,1.0,2.125,2.5,7.46875,1.782608695652174,2.40625
2.0,5.0,1.0,2.125,1.75,7.75,1.782608695652174,2.96875
1.0,4.0,1.0,2.125,2.125,7.46875,1.782608695652174,2.96875
1.0,4.0,1.0,1.0,2.5,7.46875,1.782608695652174,3.53125
2.0,3.0,1.0,2.125,1.75,6.625,,6.90625
2.0,4.0,1.0,2.125,1.75,8.3125,,2.96875
2.0,4.0,1.0,2.125,1.375,7.75,,3.53125
1.0,3.0,1.0,2.125,2.875,8.03125,,1.84375
2.0,4.0,1.0,2.125,1.375,8.875,1.391304347826087,1.5625
1.0,3.0,1.0,1.5625,1.375,8.875,,1.5625
2.0,3.0,1.0,1.5625,1.75,9.4375,1.391304347826087,2.125
1.0,4.0,1.0,2.125,1.0,8.59375,1.391304347826087,4.65625
2.0,3.0,1.0,2.125,2.125,8.03125,1.782608695652174,4.9375
2.0,3.0,1.0,2.125,1.375,6.34375,2.1739130434782608,5.21875
1.0,3.0,1.0,2.125,1.375,7.1875,1.782608695652174,2.125
2.0,3.0,1.0,2.125,1.375,6.90625,2.1739130434782608,2.96875
1.0,4.0,1.0,1.0,1.0,7.75,1.391304347826087,2.40625
1.0,4.0,1.0,1.5625,1.375,8.3125,,4.09375
2.0,3.0,1.0,2.125,2.125,7.75,,4.09375
2.0,3.0,1.0,1.5625,2.125,6.625,,3.25
2.0,2.0,1.0,1.5625,1.0,4.9375,4.130434782608695,1.84375
1.0,4.0,1.0,2.125,1.75,6.625,2.1739130434782608,2.40625
2.0,3.0,1.0,2.125,2.5,8.875,2.1739130434782608,4.09375
1.0,5.0,1.0,2.125,1.375,6.90625,4.130434782608695,3.8125
2.0,4.0,1.0,2.125,1.75,6.625,,2.6875
1.0,2.0,1.0,2.125,1.75,6.90625,7.6521739130434785,4.9375
2.0,1.0,1.0,2.125,2.125,8.875,6.869565217391305,4.65625
2.0,3.0,1.0,2.125,4.375,9.15625,1.391304347826087,2.6875
2.0,3.0,1.0,2.125,1.75,8.875,1.782608695652174,4.09375
1.0,4.0,1.0,2.125,2.125,9.4375,,2.125
2.0,3.0,1.0,2.125,1.0,7.46875,,1.84375
1.0,4.0,1.0,2.125,2.125,9.15625,2.1739130434782608,1.28125
2.0,3.0,1.0,2.125,1.0,6.625,2.565217391304348,3.25
2.0,4.0,1.0,2.125,1.0,8.59375,1.0,2.40625
1.0,1.0,1.0,2.125,1.0,8.03125,1.0,4.375
2.0,1.0,1.0,2.125,1.75,9.4375,1.391304347826087,2.40625
2.0,4.0,1.0,2.125,2.5,8.59375,1.391304347826087,2.40625
2.0,3.0,1.0,2.125,2.125,8.875,,3.53125
1.0,4.0,1.0,2.125,2.5,8.59375,,3.53125
1.0,3.0,1.0,2.125,1.75,8.03125,2.1739130434782608,3.25
1.0,1.0,1.0,2.125,2.5,8.875,2.1739130434782608,1.84375
1.0,4.0,1.0,2.125,2.875,8.875,1.782608695652174,1.5625
1.0,1.0,1.0,2.125,2.5,8.3125,1.391304347826087,1.5625
1.0,4.0,1.0,2.125,3.25,6.90625,1.782608695652174,2.125
1.0,2.0,1.0,2.125,2.5,10.0,1.782608695652174,2.6875
2.0,2.0,1.0,2.125,1.75,10.0,2.1739130434782608,4.375
1.0,2.0,1.0,2.125,2.875,7.75,2.1739130434782608,2.96875
1.0,4.0,1.0,2.125,2.875,8.875,8.043478260869566,4.09375
1.0,4.0,1.0,2.125,2.125,10.0,,3.8125
2.0,3.0,1.0,2.125,2.5,10.0,2.1739130434782608,3.8125
2.0,3.0,1.0,2.125,2.5,10.0,1.782608695652174,3.8125
2.0,3.0,1.0,2.125,1.75,8.875,1.782608695652174,4.375
1.0,3.0,1.0,2.125,2.875,10.0,5.304347826086957,3.53125
2.0,4.0,1.0,2.125,2.5,10.0,1.391304347826087,4.09375
1.0,2.0,1.0,2.125,2.5,10.0,1.782608695652174,3.8125
1.0,3.0,1.0,2.125,2.125,10.0,1.782608695652174,4.09375
2.0,5.0,2.0,2.125,3.625,8.875,2.1739130434782608,4.09375
2.0,2.0,2.0,2.125,2.875,8.59375,1.782608695652174,3.53125
2.0,1.0,2.0,2.125,3.625,10.0,9.217391304347826,3.53125
2.0,1.0,2.0,2.125,3.625,10.0,9.217391304347826,3.8125
1.0,4.0,2.0,2.125,3.625,6.625,,3.8125
2.0,2.0,2.0,2.125,3.625,2.125,9.217391304347826,3.53125
2.0,2.0,2.0,2.125,1.375,8.875,1.391304347826087,2.125
