sexo,escol,Tam_loc,agg_church_state_separation,agg_personal_religiosity,agg_religious_socialization,agg_religious_tolerance,agg_supernatural_beliefs
2.0,3.0,2.0,3.5,9.25,1.0,3.25,7.428571428571428
2.0,3.0,2.0,4.0,9.25,4.0,3.25,7.75
1.0,2.0,2.0,8.0,1.0,8.5,5.5,
1.0,4.0,2.0,4.0,9.25,1.0,3.25,10.0
1.0,3.0,2.0,4.0,9.25,1.0,3.25,10.0
2.0,2.0,2.0,4.0,9.25,1.0,7.75,10.0
2.0,4.0,2.0,5.0,9.25,1.0,5.5,10.0
1.0,4.0,2.0,10.0,,8.5,5.5,1.0
2.0,2.0,2.0,6.5,9.25,1.0,3.25,10.0
2.0,4.0,2.0,5.0,7.75,5.5,5.5,9.678571428571427
2.0,4.0,2.0,3.5,8.5,1.0,3.25,
2.0,98.0,2.0,3.5,9.25,1.0,3.25,
2.0,2.0,2.0,3.5,9.25,1.0,3.25,10.0
1.0,3.0,2.0,5.0,8.5,1.0,5.5,10.0
2.0,2.0,2.0,3.5,7.75,1.0,5.5,8.392857142857142
2.0,3.0,2.0,5.5,6.249999999999999,4.0,7.75,8.714285714285715
1.0,3.0,2.0,9.5,,8.5,5.5,1.0
1.0,3.0,2.0,3.5,7.75,1.0,5.5,8.392857142857142
1.0,3.0,2.0,8.0,,8.5,5.5,1.0
2.0,3.0,2.0,3.0,,1.0,5.5,9.035714285714285
2.0,4.0,2.0,5.5,6.249999999999999,4.0,7.75,8.714285714285715
2.0,3.0,2.0,5.0,8.5,1.0,5.5,
2.0,4.0,2.0,5.5,6.249999999999999,4.0,7.75,8.714285714285715
1.0,2.0,2.0,5.0,7.75,1.0,5.5,10.0
2.0,2.0,3.0,1.5,10.0,1.0,1.0,6.785714285714285
1.0,3.0,3.0,3.5,9.25,1.0,3.25,
2.0,2.0,3.0,5.5,10.0,1.0,3.25,8.714285714285715
1.0,3.0,3.0,3.5,10.0,5.5,5.5,
1.0,3.0,3.0,1.5,9.25,2.4999999999999996,1.0,5.178571428571429
1.0,2.0,3.0,4.5,9.25,5.5,3.25,
1.0,1.0,3.0,4.5,9.25,1.0,3.25,
2.0,2.0,3.0,5.0,9.25,1.0,3.25,
2.0,3.0,3.0,6.5,10.0,1.0,3.25,8.714285714285715
2.0,2.0,3.0,7.0,10.0,1.0,3.25,8.392857142857142
1.0,3.0,3.0,4.5,9.25,1.0,3.25,8.714285714285715
1.0,1.0,3.0,4.0,8.5,1.0,3.25,
2.0,2.0,3.0,6.0,10.0,1.0,3.25,6.785714285714285
1.0,3.0,3.0,7.5,9.25,1.0,7.75,7.428571428571428
2.0,2.0,3.0,6.0,9.25,1.0,7.75,4.2142857142857135
1.0,2.0,3.0,8.0,8.5,1.0,7.75,2.285714285714286
2.0,2.0,3.0,8.0,9.25,1.0,7.75,10.0
2.0,3.0,3.0,5.5,9.25,1.0,7.75,5.5
1.0,3.0,3.0,5.5,9.25,1.0,7.75,7.428571428571428
1.0,2.0,3.0,3.5,9.25,1.0,7.75,10.0
2.0,2.0,3.0,7.5,9.25,1.0,5.5,8.392857142857142
1.0,2.0,3.0,7.5,9.25,4.0,7.75,10.0
1.0,2.0,3.0,6.0,10.0,1.0,3.25,6.785714285714285
2.0,3.0,3.0,8.0,9.25,1.0,7.75,7.428571428571428
1.0,4.0,1.0,,9.25,2.4999999999999996,7.75,7.107142857142858
1.0,5.0,1.0,,6.249999999999999,4.0,5.5,3.8928571428571423
1.0,4.0,1.0,7.0,,7.000000000000001,5.5,
2.0,3.0,1.0,4.0,9.25,1.0,7.75,
1.0,4.0,1.0,5.0,9.25,1.0,3.25,2.6071428571428577
2.0,4.0,1.0,,9.25,7.000000000000001,5.5,
2.0,4.0,1.0,4.5,8.5,5.5,1.0,
1.0,4.0,1.0,5.0,8.5,1.0,3.25,3.8928571428571423
2.0,4.0,1.0,3.0,9.25,1.0,3.25,7.107142857142858
1.0,3.0,1.0,3.0,7.75,2.4999999999999996,5.5,8.392857142857142
2.0,4.0,1.0,4.5,9.25,1.0,5.5,8.392857142857142
1.0,4.0,1.0,4.5,7.75,1.0,5.5,7.428571428571428
1.0,4.0,1.0,3.5,9.25,4.0,5.5,7.75
2.0,4.0,1.0,2.5,9.25,4.0,5.5,7.75
1.0,4.0,1.0,4.5,9.25,2.4999999999999996,5.5,6.464285714285715
1.0,4.0,1.0,3.5,9.25,1.0,7.75,7.428571428571428
2.0,4.0,1.0,,,5.5,5.5,3.8928571428571423
2.0,2.0,1.0,,,8.5,,1.6428571428571426
2.0,2.0,1.0,,7.75,2.4999999999999996,7.75,
1.0,4.0,1.0,4.5,9.25,1.0,7.75,6.142857142857142
2.0,4.0,1.0,3.5,7.000000000000001,4.0,,
