country,AND,ARG,AUS,BFA,BGR,BRA,CAN,CHL,CHN,CYP,DEU,EGY,ETH,FRA,GBR,GEO,GHA,GTM,HUN,IDN,IND,IRN,IRQ,ITA,MAR,MDA,MEX,MLI,MYS,NOR,POL,ROU,RWA,SRB,SVN,SWE,THA,TTO,TWN,URY,USA,VNM,ZMB
AND,0.0,0.16914337350174774,0.16617320382376635,0.19884682791453062,0.12428201479279924,0.18919869056726946,0.11085057278794291,0.08958280865505154,0.23978950175046962,0.1682649546784556,0.18497384523503485,0.2029226589585073,0.23381066289526128,0.12407565436544288,0.18132578892369744,0.18124766376012263,0.308814674895224,0.14805958463559207,0.09308505989903508,0.22017485593132521,0.22487848821847323,0.17671469063465195,0.4937117240453367,0.19604332526040424,0.26021551695295053,0.15359946277824288,0.21402249076897695,0.18695460547153048,0.18475424532592535,0.13719889427676338,0.19452914002658805,0.26741876627558625,0.147081721289001,0.1954432983171958,0.17726761784511189,0.12778495304970683,0.2698437755826116,0.18848311423304318,0.1767474176097476,0.1946162515073192,0.20000025438414862,0.1926900457862292,0.1768312784720123
ARG,0.16914337350174774,0.0,0.1409749846762762,0.1549777203671777,0.09478800971948494,0.1353666865789445,0.12963215932319297,0.15479352672454408,0.17659163755871377,0.12426987987380168,0.22982168023182814,0.1547462705248233,0.1865081504095265,0.11939482066954986,0.09748610650171077,0.11902940474589362,0.2720142713042642,0.1787882526392938,0.14863068043942956,0.1127426698283847,0.1775362374610309,0.12948258293267123,0.43236871296927243,0.2212258036417332,0.16855109567361856,0.15861135163631535,0.1944253191300062,0.18149909042793577,0.11992242218363144,0.11862121900573012,0.2205191484402379,0.2546169671381042,0.10330322395302512,0.07051083765584805,0.20240666840292718,0.09123189760752405,0.209925830903095,0.1330457401570074,0.15700108588392608,0.14567016404886524,0.12965541758655438,0.1940070595381388,0.09817482713583084
AUS,0.16617320382376635,0.1409749846762762,0.0,0.2283671463967349,0.12493663110403742,0.09172196695643425,0.14853315125203412,0.125129092202962,0.2658882186964434,0.18569976432984725,0.16316674743650467,0.18038664194585155,0.20899750940334672,0.132091237955198,0.110266457075294,0.08400475590251437,0.3288391731732057,0.22855951919680545,0.1010333872102091,0.19314260355297522,0.26749112762242255,0.19080401074746048,0.46864684454116107,0.20433059548087068,0.211416926956914,0.17750840194259704,0.18067728308831205,0.25249759808032746,0.1789210415632135,0.08085140088566374,0.17413337061804407,0.21593713839974932,0.15987482232536068,0.17153692116137476,0.14315211580303405,0.10739730097155128,0.20989902443621514,0.1494874341590164,0.13830401265093464,0.21564395711978415,0.18865639164900178,0.2233791061987773,0.15856518706201678
BFA,0.19884682791453062,0.1549777203671777,0.2283671463967349,0.0,0.14078389562926638,0.1965393077392211,0.14479618130666497,0.18615005904620688,0.19642087617607046,0.08853523581078772,0.3187739902723048,0.12499307049242897,0.3153352864286044,0.21986849473816159,0.17584611825414506,0.22867632052910492,0.22168809276463985,0.11432574918027356,0.21915448446597063,0.1334476281322637,0.13194984848112126,0.21259693651019027,0.532480618830599,0.2758570275517809,0.22374327513483513,0.16549113275405597,0.29968806007264454,0.12141691145289311,0.1329627515616081,0.2082099866319154,0.33343767738241575,0.3817103860672646,0.19945271999807776,0.1725347563161717,0.2791534762727026,0.1638515551761181,0.3521500692479803,0.1261348791442426,0.17483350183555857,0.17087349835729054,0.12120617495746082,0.09335056502484056,0.15876264173872817
BGR,0.12428201479279924,0.09478800971948494,0.12493663110403742,0.14078389562926638,0.0,0.1328472723532863,0.07740828505257893,0.10637896670210421,0.19857250428964746,0.09703799544699974,0.2002339229293782,0.12372026330660361,0.21094650668078152,0.1254866434655793,0.12041200593854873,0.11681566688967747,0.2865416398379455,0.13887053800407417,0.10674282418787251,0.1412044785547919,0.17600045714063584,0.1686119314414595,0.4904327334350767,0.18441880964009794,0.21511270993551815,0.10525595567508755,0.18468663920056866,0.16370875427965165,0.10434605954289347,0.08679186031102876,0.20970113118622646,0.2588310372046856,0.10330678544820633,0.1363081067501354,0.1637733019010226,0.07611582673070975,0.24230091706841925,0.10543655740632464,0.12925681590466065,0.14997307125837386,0.14263974055144732,0.14735240075287126,0.10380194640459482
BRA,0.18919869056726946,0.1353666865789445,0.09172196695643425,0.1965393077392211,0.1328472723532863,0.0,0.16948011274331107,0.1583304924129881,0.24241491216571986,0.1692950835609588,0.22837895780679016,0.15620005729279854,0.24803219097975934,0.17285625821045672,0.09558676444629743,0.12018279439951562,0.2670720848450587,0.2110827475822959,0.14204812008536716,0.1396311927449893,0.24396800735089708,0.17681320227423536,0.4571292072038872,0.25362614220282953,0.16092737907655025,0.20162312027424442,0.24427535057224378,0.21905142723448906,0.16028221733844594,0.1301163611156567,0.24047743507109312,0.27777169110732586,0.16907605777948295,0.1546315819591275,0.21005690868065593,0.11991024682017672,0.2456647978430597,0.11694302798289055,0.1298402074092428,0.1875769764039802,0.13369415514318075,0.19756084275384928,0.13817765289561265
CAN,0.11085057278794291,0.12963215932319297,0.14853315125203412,0.14479618130666497,0.07740828505257893,0.16948011274331107,0.0,0.09572531497841467,0.19496412203836488,0.09606379473913691,0.2104142268388678,0.14370912502365138,0.23213012924899915,0.14474287480974762,0.15425777767064738,0.15246989163189784,0.30956059421608556,0.14069931782069667,0.1198923392576697,0.18163648090587028,0.1857193324306924,0.19257621245093395,0.5188489589554803,0.1872885381057174,0.2513247887997995,0.09656970529375061,0.19656301089062492,0.17456950328761678,0.13024837768259,0.11593060694557114,0.22611557562420506,0.2788480646283226,0.137716402463143,0.16815681036237817,0.16982477490627715,0.11488415733849992,0.27133829459399084,0.1194439666652979,0.15444688164009004,0.17431378753764315,0.1670779572314621,0.13683132496376815,0.12514286646571152
CHL,0.08958280865505154,0.15479352672454408,0.125129092202962,0.18615005904620688,0.10637896670210421,0.1583304924129881,0.09572531497841467,0.0,0.2656300187835444,0.15074522387557734,0.1674004053593096,0.1515426545064363,0.25605870659058383,0.11080783915609822,0.13614526934333626,0.14419641560404772,0.32249556654381456,0.1518013940389711,0.09865384877464664,0.21246235617215092,0.2466986234973957,0.19865315590184235,0.5234514276397177,0.16622998495545235,0.2626123447906522,0.12082859979715217,0.19249149383355782,0.21043768198669713,0.1746417673109435,0.11372608631587743,0.19845874631659727,0.2634610018937038,0.16750218921246443,0.19558748258383377,0.1468025881883963,0.12398381244700438,0.27787557526408685,0.15763288688033325,0.12119046250900894,0.2242197514481949,0.18933167299435413,0.1790409083820983,0.18100199290682972
CHN,0.23978950175046962,0.17659163755871377,0.2658882186964434,0.19642087617607046,0.19857250428964746,0.24241491216571986,0.19496412203836488,0.2656300187835444,0.0,0.1721996323996927,0.35411758561691625,0.25666702428443344,0.24037168693623437,0.26261524925123686,0.23975916837446676,0.26061622801484263,0.26173862988472524,0.2374882581490826,0.24641374830905818,0.16594028258348795,0.13272533703329614,0.19803854043985017,0.4346994827969782,0.34487405962754136,0.21546140291454086,0.25458652024773204,0.3156989462636965,0.18175646008186672,0.1732498851581346,0.2441916663244355,0.33552548201124105,0.36744295354375806,0.183947792420978,0.1571023146578157,0.3226441219115242,0.20688886333337714,0.2893364720113986,0.19237524169379908,0.29147546125365364,0.11787477805701085,0.1710261871453765,0.21631207523212667,0.12139299373124773
CYP,0.1682649546784556,0.12426987987380168,0.18569976432984725,0.08853523581078772,0.09703799544699974,0.1692950835609588,0.09606379473913691,0.15074522387557734,0.1721996323996927,0.0,0.2760600053968465,0.11949923014893607,0.26450974676146444,0.18687160096736113,0.1437654458534966,0.18156584963190317,0.2614631001652697,0.1438151520221791,0.17098432679762685,0.12275958569743999,0.15343060850662857,0.20916530214023712,0.5291037109180361,0.24372612758998177,0.23029192480967203,0.1348180345680863,0.2453096050284352,0.14786781318883985,0.07434048020687212,0.15722672327494555,0.2867646474918577,0.3359118108974883,0.16357507535457602,0.15767220853742753,0.23142181346786517,0.1295236492814624,0.30604135838335056,0.10134176709043707,0.17284167255933996,0.16097791127563965,0.11525908883924617,0.09271083748960182,0.11888986929851712
