country,ARG,ARM,AUS,AZE,BLR,BRA,CHL,CHN,COL,CYP,DEU,DZA,ECU,EST,GEO,GHA,HTI,IND,IRQ,JOR,KAZ,KGZ,KWT,LBN,LBY,MEX,MYS,NGA,NLD,NZL,PER,PHL,POL,ROU,RUS,RWA,SVN,SWE,THA,TUN,TWN,UKR,URY,UZB,YEM,ZAF,ZWE
ARG,0.0,0.26115701325393825,0.21729470484784877,0.23504200924729587,0.12320328494331559,0.17500962739520387,0.21552188028041241,0.14990334519545803,0.15077105080534278,0.13669864852964625,0.2265089467699865,0.236840724720483,0.2318794117504617,0.15787712553101169,0.1374116740957088,0.2532852368637801,0.2846301511982586,0.1917517397208072,0.26677309527986737,0.19293064345790192,0.20528102124194889,0.12100204826621931,0.0883465865919375,0.1247044840833859,0.21132092901581273,0.11094372745661488,0.25559598018832097,0.22030031073585107,0.14548578880283838,0.1850783705716843,0.2026756511747725,0.26506351397272976,0.10952483385151289,0.13161304153379944,0.15975800915908797,0.2916311100741628,0.11018449467610177,0.14144152218723655,0.151233306178793,0.2574976346461271,0.14184090282773346,0.18456759662723995,0.24644966157406242,0.14693710526091847,0.12890867899744166,0.18546771716375318,0.234431625935805
ARM,0.26115701325393825,0.0,0.11884093552041583,0.15516278969428893,0.17445787042463934,0.13100466390195442,0.12095209800464961,0.22305445804607033,0.15678165329631938,0.20184398560227707,0.1424586158729881,0.10470276149827072,0.11438461338873882,0.13601366101060525,0.20386205158794127,0.07186235003151985,0.19177871586021514,0.1557217895771255,0.11185493841034266,0.16610302542165806,0.10837392933738824,0.2017677924098592,0.21288195013090272,0.18057585979741772,0.1815986866604948,0.16889172304689254,0.1149018548797546,0.1386157532153706,0.1918773928889472,0.14618227141851606,0.14241024354628212,0.11929510772402685,0.2600149602339404,0.16554767842042958,0.1698083854619415,0.15308148024092447,0.3025787847477551,0.20280025687865705,0.19867759788963857,0.0811454044051622,0.16457062858489863,0.11918255083677483,0.07290807108300415,0.16444939192358668,0.25559445273018555,0.1518535342222592,0.08380152475541239
AUS,0.21729470484784877,0.11884093552041583,0.0,0.1672223563814693,0.11906678453684552,0.10739234089049352,0.1216910870406041,0.16928922319833603,0.12511775371081657,0.15712527617191702,0.14272377656315735,0.09218124065196318,0.12245387850018807,0.11387518872460611,0.20107720995098902,0.10534910012980561,0.21599779383197257,0.15485196525950448,0.15599506453297196,0.10381958183699501,0.08010777003915133,0.17815114494951978,0.17446039270089647,0.14378896615290065,0.1923870802387412,0.1429069829675211,0.12480727276739507,0.1160209603003078,0.14031580286986148,0.08310229057629707,0.13671616309151205,0.1375523979436092,0.22540480764352983,0.13507941512715066,0.1556250429231677,0.19023347901987453,0.2585468689736346,0.14845182014837072,0.17434621901617878,0.1419720782359701,0.11741203340080207,0.13144484567444986,0.10204682305288168,0.10896529134868162,0.2326946609876942,0.14381752081165786,0.10235675968987638
AZE,0.23504200924729587,0.15516278969428893,0.1672223563814693,0.0,0.15039924830585769,0.14952264800404577,0.19903459953173466,0.2224385426774403,0.1733928104396931,0.1533485151467759,0.20876059627385435,0.20712685187310856,0.20225189529215581,0.14461974014055629,0.13604513945562366,0.18267105456929855,0.19311781606988887,0.15078442153722232,0.14141537074764304,0.21658487763979345,0.18477371384037578,0.2149386563585847,0.18839500948124357,0.18433206002535246,0.16042169953105154,0.15206354612796405,0.19525937856471762,0.21796973225548946,0.18369544780304045,0.1450508301842143,0.1789301441545484,0.20274677239243608,0.19190893119494687,0.14373317292398943,0.11234518218841134,0.1811591550789372,0.23776651742658572,0.18905041679313128,0.1214995300780142,0.1504455773909481,0.1271173973370888,0.10275363264951408,0.146089412615047,0.15837814463690858,0.202450191641887,0.1982901020129896,0.15885154216948844
BLR,0.12320328494331559,0.17445787042463934,0.11906678453684552,0.15039924830585769,0.0,0.11648433256052988,0.1499994157903279,0.12635249645576196,0.08985552546618857,0.0973281223959523,0.1590707225657242,0.159116702566908,0.16553049916437634,0.08408209527991574,0.11732021537666641,0.1722198229978614,0.22669334914256567,0.13704945446773717,0.1904224587748167,0.12117153550150626,0.12925000546616358,0.12229527223761313,0.10365204542672593,0.10717564704136132,0.16582094895823468,0.08184739308392078,0.18671207402656037,0.16390082818760074,0.10467367793078657,0.08212394767498131,0.14395178983438556,0.19721233133493477,0.13272147844293639,0.07321511250137791,0.10200709070565778,0.21707821172434505,0.1603039498583584,0.09259612389887287,0.11468923352079233,0.17563610115622555,0.06316246974339926,0.10767835491083008,0.15966470561736879,0.06420889661216904,0.14855589774255554,0.14287866551283812,0.1542164737423597
BRA,0.17500962739520387,0.13100466390195442,0.10739234089049352,0.14952264800404577,0.11648433256052988,0.0,0.11212140245038624,0.1436283803543234,0.12276142217156319,0.13214496392377953,0.16285783788736974,0.12226812738843146,0.13393209511254536,0.10049318377398198,0.15676754510784763,0.11742330364042636,0.21801386804447342,0.11447400270730321,0.15785823395918328,0.1277837930235021,0.11045574485945789,0.15274202254332883,0.12775885829772538,0.06976521501513744,0.1473932467058546,0.0942534649704055,0.1108770068413356,0.1125117991220136,0.11254167025935012,0.12197777774498512,0.14134292639945234,0.12590589966739532,0.184066904732995,0.112146859151153,0.12673063507243554,0.19760096684986056,0.2119991679391359,0.1527981476473247,0.1170500631765919,0.13868098012100544,0.11782712413158455,0.10885519779240825,0.12443942185432835,0.11858117436555347,0.18768042039621596,0.11350134546784178,0.09864459000057393
CHL,0.21552188028041241,0.12095209800464961,0.1216910870406041,0.19903459953173466,0.1499994157903279,0.11212140245038624,0.0,0.16640094750543194,0.12494398224257132,0.16585653809552103,0.1222273687312164,0.09461709772490023,0.08502766365097704,0.11980706698137009,0.19456115191649612,0.09925070007678709,0.25449428647371636,0.11517169759327994,0.17656473806955048,0.10456393611165121,0.09099378747348529,0.1403784337407661,0.18207778197906846,0.12388586597804814,0.17224357657909192,0.1471063495847015,0.12822336531537604,0.12136175328678922,0.1445980602093087,0.12885917572946792,0.13274212644359973,0.10006627348223818,0.22136985817481958,0.14019363914993005,0.18670345419657602,0.22452585458841312,0.24737871231042657,0.17289946920426716,0.1972570589119235,0.10781114638629498,0.1627313672380794,0.14901045802519122,0.12595154310550521,0.1240448229158294,0.20745483518954597,0.08045797568347914,0.09398914941158089
CHN,0.14990334519545803,0.22305445804607033,0.16928922319833603,0.2224385426774403,0.12635249645576196,0.1436283803543234,0.16640094750543194,0.0,0.16326229287461666,0.16460573140841792,0.2298314413212488,0.17322403012586404,0.21705190556571333,0.16392679111147276,0.19678603902982106,0.2176434948713215,0.3281997669495215,0.13435692167886057,0.27639092217316125,0.14366407289650454,0.19218833264297877,0.163326015466828,0.1710140125949689,0.1263787578447872,0.13586330359340393,0.15539814015233017,0.2125037650776396,0.19980213877053318,0.0825304526943443,0.1664876746791695,0.2253036328516314,0.21644384828404656,0.18228007529753748,0.1048082002515731,0.17473984101000142,0.2433514963695114,0.17769306023075898,0.18270258720005017,0.15113028876106607,0.22078576958616547,0.1607619797730814,0.19851015600281208,0.22457436877277281,0.145054266030061,0.14223074269428065,0.16325050561486243,0.1880542159363581
COL,0.15077105080534278,0.15678165329631938,0.12511775371081657,0.1733928104396931,0.08985552546618857,0.12276142217156319,0.12494398224257132,0.16326229287461666,0.0,0.12092203489696815,0.10344733154222903,0.15410359467847046,0.11716552981385445,0.07021436216636925,0.13316544096493596,0.15371027794461448,0.2226139610133547,0.14172216340500393,0.17243942688238437,0.11424673256105973,0.09707723383191055,0.09910096794330278,0.12635870525088352,0.11106638610261868,0.18516976900817345,0.08913455656625471,0.19243936930347066,0.14147166154121638,0.11951892084056033,0.0857152993257851,0.08739445071005048,0.17154552945500331,0.15446371889740904,0.10549278226494743,0.12423453359479107,0.22617136436238963,0.18624970724293885,0.07552311068154159,0.16741841836264384,0.1555057111853401,0.10013311575685063,0.115079517935023,0.13369832197359852,0.06178558979464445,0.17414362554870852,0.10022642637131227,0.15605430294254077
CYP,0.13669864852964625,0.20184398560227707,0.15712527617191702,0.1533485151467759,0.0973281223959523,0.13214496392377953,0.16585653809552103,0.16460573140841792,0.12092203489696815,0.0,0.1819399164456765,0.19748066106960008,0.17759123941752725,0.12098206643975641,0.10169027407693165,0.1932736155571442,0.23265523100462263,0.13630737317702737,0.18903297749186249,0.17272364827099254,0.15557106240342447,0.10651229279058695,0.09081829145909957,0.11416941744017668,0.19239962437256558,0.10200251219276683,0.2046145498574976,0.2008109905440795,0.14363901727441217,0.10450820047035903,0.1525094917125957,0.2157983219684959,0.09210629305467508,0.11183839744729093,0.14461374228907495,0.27199889159353985,0.13265256828804334,0.11786847997144186,0.12771454859599324,0.1935113794474312,0.09486645921425187,0.13017779682188588,0.18149756134230113,0.09425945837089275,0.13084302145108653,0.15227448524493525,0.16543404532984216
