country,zone,betti_0,betti_1,betti_2,total_pers_H0,total_pers_H1,total_pers_H2,max_pers_H0,max_pers_H1,max_pers_H2,entropy_H0,entropy_H1,n_features_H0,n_features_H1,n_features_H2
ARG,Latin America,33,0,0,8.836644571274519,0.030945822596549988,0.003468558192253113,1.0,0.00729389488697052,0.003468558192253113,3.1571644360712052,1.736739857926006,44,7,1
ARM,Orthodox/ex-Communist,38,0,0,8.635034792125225,0.16322802007198334,0.005820825695991516,1.0,0.027187339961528778,0.005820825695991516,3.1946063999104237,2.3168141385936307,44,13,1
AUS,English-speaking,43,2,0,10.213136948645115,0.3522917926311493,0.04749123752117157,1.0,0.07297463715076447,0.02102707326412201,3.3914018224627305,2.272965852811685,44,14,4
AZE,Orthodox/ex-Communist,40,0,0,7.961943957954645,0.11127838492393494,0.0,1.0,0.030057869851589203,0.0,3.239975204877258,1.7132466463368463,44,7,0
BLR,Orthodox/ex-Communist,43,0,0,9.029963839799166,0.07835739105939865,0.07418360561132431,1.0,0.040704406797885895,0.021682895720005035,3.3628984184753445,1.3312905735040403,44,5,6
BRA,Latin America,41,0,0,8.707289289683104,0.12178396433591843,0.0,1.0,0.027452200651168823,0.0,3.323035857815632,2.0479179639589162,44,10,0
CHL,Latin America,42,0,0,9.43415617197752,0.03652556240558624,0.0,1.0,0.026093319058418274,0.0,3.3787253272785556,0.7956979959646149,44,3,0
CHN,Confucian,39,0,0,10.76502463594079,0.07374251261353493,0.0,1.0,0.03509002923965454,0.0,3.291391638862084,1.5174951522354716,44,7,0
COL,Latin America,43,0,0,7.408724080771208,0.24579022824764252,0.006019756197929382,1.0,0.045802317559719086,0.0021521374583244324,3.354997547249878,2.3181139200054615,44,12,3
CYP,Catholic Europe,34,0,0,9.622843286022544,0.03519817441701889,0.0,1.0,0.0178036168217659,0.0,3.141229473743368,0.6930796482039301,44,2,0
DEU,Protestant Europe,43,1,0,10.098011530935764,0.24807089567184448,0.039823248982429504,1.0,0.050969719886779785,0.030509501695632935,3.4731955958270135,2.3076771231272355,44,13,2
DZA,African-Islamic,41,2,0,10.487644668668509,0.33805622160434723,0.0,1.0,0.07336144149303436,0.0,3.28229476216858,2.0510949405382286,44,11,0
ECU,Latin America,36,0,0,6.8978976756334305,0.12662137672305107,0.049170903861522675,1.0,0.02445545792579651,0.01392817497253418,3.102526388602442,2.1198657339244686,44,12,7
EST,Protestant Europe,42,1,0,7.41067061573267,0.11495674401521683,0.028577066957950592,1.0,0.0567307323217392,0.017947211861610413,3.3446922752592982,1.4624646447435794,44,6,2
GEO,Orthodox/ex-Communist,39,0,0,9.020433500409126,0.0610603466629982,0.0,1.0,0.031548261642456055,0.0,3.3026266287760415,1.0184288789311475,44,3,0
GHA,African-Islamic,42,3,0,11.412453651428223,0.19545191526412964,0.0,1.0,0.06284989416599274,0.0,3.4316336787895363,1.413505557911315,44,6,0
HTI,Latin America,37,0,0,9.4719523107633,0.0006294026970863342,0.0,1.0,0.0006294026970863342,0.0,3.3363114546470274,-1.000088900581841e-12,44,1,0
IND,South/Southeast Asian,40,0,0,8.758846919983625,0.018354639410972595,0.0,1.0,0.018354639410972595,0.0,3.3364493785530946,-1.000088900581841e-12,44,1,0
IRQ,African-Islamic,32,0,0,7.700567868538201,0.027372241020202637,0.0,1.0,0.019822850823402405,0.0,3.0229809984749028,0.6625001593863618,44,3,0
JOR,African-Islamic,38,0,0,9.948987474665046,0.03013230860233307,0.0,1.0,0.010591723024845123,0.0,3.2216722772801463,1.31498650261196,44,4,0
KAZ,Orthodox/ex-Communist,36,0,0,5.498240664601326,0.14591936767101288,0.023682579398155212,1.0,0.03511565178632736,0.022760003805160522,3.3347276252834863,2.0268163957194734,44,11,2
KGZ,Orthodox/ex-Communist,43,0,0,6.019644629210234,0.0401395708322525,0.0,0.46203553676605225,0.02426157146692276,0.0,3.5634468694722177,0.6711744077208152,44,2,0
KWT,African-Islamic,40,0,0,12.060936611145735,0.06654565036296844,0.0,1.0,0.039045751094818115,0.0,3.2260416259437505,0.6780191412371976,44,2,0
LBN,African-Islamic,43,1,0,6.082796849310398,0.06665605306625366,0.08705636858940125,1.0,0.06158393621444702,0.028140127658843994,3.449035540315065,0.33628439115109326,44,4,8
LBY,African-Islamic,34,0,0,8.516652854159474,0.04846775159239769,0.0,1.0,0.02345401421189308,0.0,3.1519079351036074,1.0368697690925837,44,3,0
MEX,Latin America,40,0,0,8.853487491607666,0.09271165728569031,0.01001034677028656,1.0,0.04211432486772537,0.005808055400848389,3.305780461514084,1.3830061363572455,44,5,2
MYS,South/Southeast Asian,43,2,0,11.169194582849741,0.2477160170674324,0.0,1.0,0.06096884608268738,0.0,3.273124260715523,1.8503783523076098,44,8,0
NGA,African-Islamic,38,0,0,4.99892271310091,0.4940427727997303,0.0047728270292282104,0.4931506812572479,0.04192332178354263,0.0032103657722473145,3.5172956572462373,3.031461053491364,44,28,2
NLD,Protestant Europe,41,0,0,9.18009477481246,0.34881392121315,0.07184859365224838,1.0,0.04221785068511963,0.029590211808681488,3.2399024031868717,2.7449520971538126,44,20,6
NZL,English-speaking,42,0,0,12.030693247914314,0.010119467973709106,0.0,1.0,0.007740989327430725,0.0,3.3936854346825096,0.5452947484366368,44,2,0
PER,Latin America,43,2,0,7.075768865644932,0.49632688611745834,0.006834700703620911,1.0,0.07816889882087708,0.003634542226791382,3.5189528539664936,2.6261197773856173,44,17,3
PHL,South/Southeast Asian,41,2,0,6.90973898395896,0.27400951087474823,0.0011707097291946411,1.0,0.07117903232574463,0.0011707097291946411,3.434699737290537,1.9022676407487353,44,10,1
POL,Catholic Europe,41,0,0,7.876810049638152,0.006247706711292267,0.0,1.0,0.004064567387104034,0.0,3.2360688005851004,0.6470933876090004,44,2,0
ROU,Orthodox/ex-Communist,29,0,0,6.608609544113278,0.09156802669167519,0.0,1.0,0.023771919310092926,0.0,3.0408578355859257,2.352403438028668,44,15,0
RUS,Orthodox/ex-Communist,33,0,0,7.294009128585458,0.021008677780628204,0.0,1.0,0.015389509499073029,0.0,3.128106430096435,0.5807250834734476,44,2,0
RWA,African-Islamic,36,0,0,8.651314416900277,0.09103219956159592,0.0,1.0,0.02349814772605896,0.0,3.2795726623566397,1.785382987358226,44,7,0
