country,zone,n_waves,waves,n_total_estimates,n_significant,pct_significant,median_abs_gamma,mean_stability_rho
ESP,Catholic Europe,2,"3,4",389,257,66.1,0.0334,0.871
SVN,Catholic Europe,3,"3,5,6",1105,680,61.5,0.0362,0.846
CHE,Protestant Europe,2,"2,3",234,151,64.5,0.0282,0.843
NOR,Protestant Europe,2,"3,5",504,301,59.7,0.0294,0.83
POL,Catholic Europe,3,"3,5,6",1133,684,60.4,0.0334,0.82
HUN,Catholic Europe,2,"3,5",511,230,45.0,0.0221,0.753
DEU,Protestant Europe,4,"3,5,6,7",2150,1292,60.1,0.0217,0.708
GBR,English-speaking,2,"5,7",1118,801,71.6,0.0285,0.706
MEX,Latin America,5,"3,4,5,6,7",2334,950,40.7,0.0102,0.682
BLR,Orthodox/ex-Communist,2,"3,6",866,418,48.3,0.0152,0.68
BGR,Orthodox/ex-Communist,2,"3,5",488,177,36.3,0.0159,0.677
AUS,English-speaking,4,"3,5,6,7",2124,1220,57.4,0.022,0.673
PRI,Latin America,3,"3,4,7",1520,535,35.2,0.0137,0.652
NLD,Protestant Europe,2,"6,7",1608,916,57.0,0.0207,0.63
USA,English-speaking,4,"3,4,5,7",1750,980,56.0,0.0187,0.623
ROU,Orthodox/ex-Communist,4,"3,5,6,7",2057,1057,51.4,0.019,0.607
CAN,English-speaking,3,"4,5,7",1638,1073,65.5,0.0172,0.605
SWE,Protestant Europe,3,"4,5,6",1166,556,47.7,0.0228,0.603
CHL,Latin America,5,"3,4,5,6,7",2471,708,28.7,0.01,0.6
BRA,Latin America,5,"2,3,5,6,7",2142,890,41.5,0.0122,0.573
ARG,Latin America,3,"5,6,7",1784,652,36.5,0.0132,0.55
COL,Latin America,3,"3,6,7",1989,924,46.5,0.0133,0.529
MDA,Orthodox/ex-Communist,3,"3,4,5",714,225,31.5,0.012,0.525
URY,Latin America,4,"3,5,6,7",2169,1032,47.6,0.0239,0.525
MKD,Orthodox/ex-Communist,2,"3,4",407,203,49.9,0.0206,0.489
TWN,Confucian,4,"3,5,6,7",2303,998,43.3,0.0171,0.484
IRN,African-Islamic,2,"5,7",1327,708,53.4,0.0162,0.482
JOR,African-Islamic,3,"4,6,7",1580,371,23.5,0.009,0.464
AND,Catholic Europe,2,"5,7",1266,429,33.9,0.0136,0.463
SVK,Orthodox/ex-Communist,2,"3,7",1239,547,44.1,0.0163,0.445
GEO,Orthodox/ex-Communist,2,"5,6",944,343,36.3,0.0153,0.44
NZL,English-speaking,2,"6,7",1616,660,40.8,0.0187,0.437
UKR,Orthodox/ex-Communist,3,"3,6,7",1991,747,37.5,0.0112,0.406
SRB,Orthodox/ex-Communist,4,"3,4,5,7",1868,803,43.0,0.0167,0.373
IDN,South/Southeast Asian,3,"4,5,7",1421,830,58.4,0.0159,0.371
PER,Latin America,2,"6,7",1872,552,29.5,0.0095,0.366
RUS,Orthodox/ex-Communist,3,"3,6,7",1858,839,45.2,0.0108,0.362
CYP,Catholic Europe,3,"5,6,7",2017,991,49.1,0.0224,0.36
ALB,Orthodox/ex-Communist,2,"3,4",407,125,30.7,0.0149,0.351
BIH,Orthodox/ex-Communist,2,"3,4",405,117,28.9,0.0095,0.349
EGY,African-Islamic,3,"4,5,7",1256,354,28.2,0.0115,0.331
CHN,Confucian,4,"3,5,6,7",1765,621,35.2,0.0065,0.284
LBY,African-Islamic,2,"6,7",1588,552,34.8,0.0109,0.279
GHA,African-Islamic,2,"5,6",908,161,17.7,0.0058,0.275
BGD,South/Southeast Asian,3,"3,4,7",1251,313,25.0,0.0084,0.265
PAK,South/Southeast Asian,3,"3,4,7",1194,524,43.9,0.0102,0.258
PHL,South/Southeast Asian,3,"4,6,7",2040,428,21.0,0.0063,0.258
NGA,African-Islamic,5,"2,3,4,6,7",2231,560,25.1,0.0071,0.258
ECU,Latin America,2,"6,7",1819,465,25.6,0.0077,0.251
IRQ,African-Islamic,3,"5,6,7",1753,496,28.3,0.0098,0.235
MAR,African-Islamic,3,"4,5,7",1467,311,21.2,0.0084,0.228
IND,South/Southeast Asian,6,"2,3,4,5,6,7",2670,983,36.8,0.0081,0.215
MNE,Orthodox/ex-Communist,2,"3,4",423,192,45.4,0.0343,0.213
VEN,Latin America,3,"3,4,7",1376,194,14.1,0.0052,0.212
GTM,Latin America,2,"5,7",1380,300,21.7,0.0067,0.207
ARM,Orthodox/ex-Communist,2,"6,7",1569,561,35.8,0.0134,0.207
ZAF,African-Islamic,2,"3,6",961,322,33.5,0.0037,0.202
TUN,African-Islamic,2,"6,7",1541,271,17.6,0.0074,0.196
ZWE,African-Islamic,2,"6,7",1784,495,27.7,0.0084,0.191
DZA,African-Islamic,2,"4,6",752,174,23.1,0.0088,0.186
VNM,Confucian,3,"4,5,7",1599,341,21.3,0.0078,0.149
KGZ,Orthodox/ex-Communist,3,"4,6,7",1792,616,34.4,0.0107,0.093
ETH,African-Islamic,2,"5,7",1199,451,37.6,0.0122,0.078
UZB,Orthodox/ex-Communist,2,"6,7",1735,295,17.0,0.0048,0.048
LBN,African-Islamic,2,"6,7",1744,590,33.8,0.0127,0.041
THA,South/Southeast Asian,3,"5,6,7",2253,976,43.3,0.0127,0.039
MYS,South/Southeast Asian,3,"5,6,7",2080,564,27.1,0.0108,0.023
KAZ,Orthodox/ex-Communist,2,"6,7",1826,414,22.7,0.0061,-0.017
RWA,African-Islamic,2,"5,6",934,150,16.1,0.0056,-0.058
AZE,Orthodox/ex-Communist,1,6,661,251,38.0,0.0163,
BFA,African-Islamic,1,5,311,47,15.1,0.0083,
BOL,Latin America,1,7,1150,493,42.9,0.011,
CZE,Orthodox/ex-Communist,1,7,976,370,37.9,0.0128,
DOM,Latin America,1,3,193,10,5.2,0.0106,
EST,Protestant Europe,1,6,695,307,44.2,0.0149,
FRA,Catholic Europe,1,5,244,132,54.1,0.0225,
GRC,Catholic Europe,1,7,1051,669,63.7,0.0353,
HKG,Confucian,1,7,1142,632,55.3,0.0136,
HTI,Latin America,1,6,659,48,7.3,0.0022,
ITA,Catholic Europe,1,5,277,154,55.6,0.0278,
JPN,Confucian,1,7,902,432,47.9,0.0189,
KEN,African-Islamic,1,7,1187,269,22.7,0.0078,
KOR,Confucian,1,7,1027,263,25.6,0.0078,
KWT,African-Islamic,1,6,541,270,49.9,0.0236,
LTU,Protestant Europe,1,3,191,82,42.9,0.0231,
LVA,Protestant Europe,1,3,191,61,31.9,0.0097,
MAC,Confucian,1,7,1016,232,22.8,0.0086,
MDV,African-Islamic,1,7,875,333,38.1,0.0173,
MLI,African-Islamic,1,5,334,4,1.2,0.0276,
MMR,South/Southeast Asian,1,7,892,346,38.8,0.0131,
MNG,Orthodox/ex-Communist,1,7,1138,718,63.1,0.0176,
NIC,Latin America,1,7,1224,310,25.3,0.0076,
NIR,English-speaking,1,7,935,355,38.0,0.0328,
SAU,African-Islamic,1,4,134,46,34.3,0.0069,
SGP,Confucian,1,7,1053,753,71.5,0.0224,
TJK,Orthodox/ex-Communist,1,7,1142,358,31.3,0.0117,
TTO,Latin America,1,5,309,66,21.4,0.0084,
TUR,African-Islamic,1,7,934,266,28.5,0.0045,
YEM,African-Islamic,1,6,569,209,36.7,0.0288,
ZMB,African-Islamic,1,5,334,52,15.6,0.0047,
