country,zone,betti_0,betti_1,betti_2,total_pers_H0,total_pers_H1,total_pers_H2,max_pers_H0,max_pers_H1,max_pers_H2,entropy_H0,entropy_H1,n_features_H0,n_features_H1,n_features_H2
AND,Catholic Europe,30,0,0,8.598794169723988,0.08797137439250946,0.018101155757904053,1.0,0.03596574813127518,0.009050577878952026,3.000971622464456,1.5519454150336176,31,7,2
ARG,Latin America,30,1,0,6.585638776421547,0.22653141617774963,0.0,1.0,0.0710945650935173,0.0,2.888154835431121,1.9636913949912507,31,11,0
AUS,English-speaking,24,0,0,5.106334254145622,0.008857335895299911,0.0,1.0,0.007692515850067139,0.0,2.7815129335586692,0.3892453597621068,31,2,0
BFA,African-Islamic,26,0,0,5.5405221320688725,0.006090171635150909,0.0,1.0,0.006090171635150909,0.0,2.867055934596515,-1.000088900581841e-12,31,1,0
BGR,Orthodox/ex-Communist,30,0,0,5.875712115317583,0.07999158650636673,0.0,1.0,0.04182100296020508,0.0,2.9611871309498397,1.1629517236733151,31,4,0
BRA,Latin America,30,0,0,7.812482386827469,0.010011367499828339,0.0,1.0,0.010011367499828339,0.0,2.89746680499376,-1.000088900581841e-12,31,1,0
CAN,English-speaking,30,3,0,7.141321383416653,0.4266042709350586,0.024966999888420105,1.0,0.08555090427398682,0.014396145939826965,3.113480227867921,2.0895036682500723,31,12,2
CHL,Latin America,30,1,0,7.573282018303871,0.08808508515357971,0.008463233709335327,1.0,0.053181350231170654,0.008463233709335327,3.156534987637641,0.9382204186987034,31,3,1
CHN,Confucian,29,0,0,7.453933998942375,0.10028493404388428,0.019201576709747314,1.0,0.04494769871234894,0.019201576709747314,2.862168860246887,1.368383122540937,31,5,1
CYP,Catholic Europe,30,1,0,6.162999544292688,0.3832147717475891,0.00903409719467163,1.0,0.06945288181304932,0.00903409719467163,3.0178687512217133,2.3893238465119206,31,12,1
DEU,Protestant Europe,23,0,0,6.742292374372482,0.026131659746170044,0.0,1.0,0.010266527533531189,0.0,2.6874482620063525,1.0734621546363643,31,3,0
EGY,African-Islamic,28,0,0,8.621601382270455,0.0,0.0,1.0,0.0,0.0,2.865870234683319,0.0,31,0,0
ETH,African-Islamic,30,0,0,6.519966561347246,0.12069521099328995,0.009336106479167938,1.0,0.03467843681573868,0.009336106479167938,3.014556143297542,1.9802277875456966,31,10,1
FRA,Catholic Europe,26,0,0,7.5612548142671585,0.014444127678871155,0.0,1.0,0.014444127678871155,0.0,2.6865490086995765,-1.000088900581841e-12,31,1,0
GBR,English-speaking,30,1,0,10.182433128356934,0.2331961691379547,0.0014217197895050049,1.0,0.06064505875110626,0.0014217197895050049,2.994727443296424,1.982398230958189,31,9,1
GEO,Orthodox/ex-Communist,24,0,0,6.544708088040352,0.0,0.0,1.0,0.0,0.0,2.8026178598968463,0.0,31,0,0
GHA,African-Islamic,25,0,0,6.667049592360854,0.038326993584632874,0.0,1.0,0.038326993584632874,0.0,2.8605327194428103,-1.000088900581841e-12,31,1,0
GTM,Latin America,30,1,0,12.173711635172367,0.12580325454473495,0.0,1.0,0.05680865794420242,0.0,3.0259259137489525,1.281771355620264,31,5,0
HUN,Catholic Europe,30,0,0,6.39539547264576,0.024562150239944458,0.019471094012260437,1.0,0.024562150239944458,0.019471094012260437,3.147312558168027,-1.000088900581841e-12,31,1,1
IDN,South/Southeast Asian,29,0,0,6.9965421706438065,0.16291066259145737,0.0,1.0,0.035969674587249756,0.0,2.955166231963808,2.0444227872242955,31,10,0
IND,South/Southeast Asian,25,0,0,3.2969855070114136,0.45969948917627335,0.0,0.5238967537879944,0.045694850385189056,0.0,3.134541855216251,2.846429922474505,31,23,0
IRN,African-Islamic,30,1,0,11.1981920003891,0.15858351439237595,0.0018242597579956055,1.0,0.05010099709033966,0.0018242597579956055,2.914519652267687,1.7295062052225507,31,9,1
IRQ,African-Islamic,29,0,0,17.28626860678196,0.09238626062870026,0.0,1.0,0.0319499596953392,0.0,3.072829824358965,1.4321089256038497,31,5,0
ITA,Catholic Europe,30,0,0,8.478332132101059,0.04971146583557129,0.04929457604885101,1.0,0.030769526958465576,0.027035444974899292,3.0160548277594135,1.3612546590991954,31,8,2
MAR,African-Islamic,29,1,0,9.079086270183325,0.0860423669219017,0.0,1.0,0.05460984259843826,0.0,2.9414426072908246,0.9068348494619449,31,3,0
MDA,Orthodox/ex-Communist,25,0,0,4.709235116839409,0.062460366636514664,0.008602581918239594,1.0,0.019163385033607483,0.008602581918239594,2.7056776035328887,1.5233893120364457,31,5,1
MEX,Latin America,29,0,0,7.107546716928482,0.04419638216495514,0.0,1.0,0.015967033803462982,0.0,2.930816894356866,1.2990942161438759,31,4,0
MLI,African-Islamic,30,12,0,6.463128261268139,1.203061729669571,0.07427728176116943,1.0,0.12364783883094788,0.03601318597793579,3.227074451993396,2.9232172605841593,31,22,4
